LSOA code (2011),LSOA name (2011),MSOA (2011),Ward ,Local Authority District code (2013),Local Authority District name (2013),"Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",EST Percentage ,EST Ward Rank, EST District rank ,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),CAYP Percentage ,CAYP Ward rank ,CYAP District Rank ,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),AS Percentage,AS Ward Rank,AS District Rank,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),BTHAS Percentage ,BTHAS Ward Rank,BTHAS District Rank,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),GB Percentage ,GB Ward Rank,GB District Rank,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),WB Percentage ,WB Ward Rank ,WB District Rank,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),LE Percentage ,LE Ward Rank,LE District rank ,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),IND Percentage ,IND Ward Rank,IND District Rank ,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),OTD Percentage,OTD Ward Rank,OTD District Rank
E01010966,Calderdale 012D,E02002255,Park,E08000033,Calderdale,"1,666",1,5.07%,3,7,"11,768",4,35.83%,8,37,53,1,0.16%,1,1,"18,232",6,55.51%,3,30,"27,893",9,84.93%,5,111,"7,155",3,21.78%,2,2,"4,271",2,13.00%,9,44,"5,363",2,16.33%,9,61,"4,484",2,13.65%,1,3
E01010964,Calderdale 012B,E02002255,Park,E08000033,Calderdale,991,1,3.02%,1,1,"4,913",2,14.96%,1,15,183,1,0.56%,3,3,"10,021",4,30.51%,1,11,"26,010",8,79.19%,3,100,"3,930",2,11.97%,1,1,"1,664",1,5.07%,7,16,"1,849",1,5.63%,8,30,"6,108",2,18.60%,2,5
E01011003,Calderdale 014D,E02002257,Park,E08000033,Calderdale,"4,299",2,13.09%,9,23,"5,484",2,16.70%,2,19,"3,530",2,10.75%,9,18,"29,618",10,90.18%,10,97,"30,884",10,94.03%,9,125,"15,540",5,47.31%,9,20,151,1,0.46%,1,1,241,1,0.73%,1,3,"6,501",2,19.79%,3,7
E01010996,Calderdale 014A,E02002257,Park,E08000033,Calderdale,"2,245",1,6.84%,6,10,"10,941",4,33.31%,7,35,338,1,1.03%,5,5,"20,285",7,61.76%,6,39,"31,167",10,94.89%,10,126,"7,425",3,22.61%,4,4,261,1,0.79%,2,4,341,1,1.04%,2,5,"7,781",3,23.69%,4,13
E01010995,Calderdale 012E,E02002255,Park,E08000033,Calderdale,"3,147",1,9.58%,8,15,"9,148",3,27.85%,6,29,"1,053",1,3.21%,8,11,"15,842",5,48.23%,2,21,"23,479",8,71.49%,1,93,"7,185",3,21.88%,3,3,284,1,0.86%,3,5,376,1,1.14%,3,7,"7,851",3,23.90%,5,15
E01011001,Calderdale 014B,E02002257,Park,E08000033,Calderdale,"1,405",1,4.28%,2,6,"7,355",3,22.39%,4,24,196,1,0.60%,4,4,"21,042",7,64.07%,7,41,"28,458",9,86.65%,6,116,"8,640",3,26.31%,7,7,658,1,2.00%,4,11,652,1,1.99%,4,11,"8,987",3,27.36%,6,20
E01010965,Calderdale 012C,E02002255,Park,E08000033,Calderdale,"2,078",1,6.33%,5,9,"13,454",5,40.96%,9,46,138,1,0.42%,2,2,"20,106",7,61.22%,5,37,"26,776",9,81.52%,4,102,"8,575",3,26.11%,6,6,"10,908",4,33.21%,10,77,"10,598",4,32.27%,10,89,"9,990",4,30.42%,7,27
E01011000,Calderdale 010D,E02002253,Park,E08000033,Calderdale,"2,891",1,8.80%,7,12,"8,719",3,26.55%,5,27,938,1,2.86%,7,10,"26,411",9,80.41%,8,71,"28,733",9,87.48%,7,117,"12,713",4,38.71%,8,9,"1,905",1,5.80%,8,20,"1,414",1,4.31%,7,24,"11,849",4,36.08%,8,33
E01011002,Calderdale 014C,E02002257,Park,E08000033,Calderdale,"9,116",3,27.76%,10,35,"14,512",5,44.18%,10,53,"5,690",2,17.32%,10,26,"29,390",9,89.48%,9,94,"30,085",10,91.60%,8,121,"15,605",5,47.51%,10,21,"1,097",1,3.34%,5,14,779,1,2.37%,5,13,"12,463",4,37.95%,9,37
E01010960,Calderdale 012A,E02002255,Park,E08000033,Calderdale,"1,942",1,5.91%,4,8,"5,788",2,17.62%,3,20,722,1,2.20%,6,9,"19,242",6,58.59%,4,31,"25,824",8,78.63%,2,99,"8,336",3,25.38%,5,5,"1,485",1,4.52%,6,15,"1,045",1,3.18%,6,17,"12,810",4,39.00%,10,38
E01010950,Calderdale 023C,E02002266,Rastrick,E08000033,Calderdale,"10,661",4,32.46%,2,41,"9,868",4,30.05%,1,34,"11,396",4,34.70%,2,46,"28,013",9,85.29%,5,82,"23,098",8,70.33%,6,91,"18,091",6,55.08%,1,33,"3,797",2,11.56%,1,41,"3,792",2,11.55%,1,50,"6,994",3,21.29%,1,9
E01010948,Calderdale 024E,E02002267,Rastrick,E08000033,Calderdale,"16,659",6,50.72%,5,64,"21,716",7,66.12%,5,78,"11,986",4,36.49%,3,49,"21,277",7,64.78%,1,42,"12,453",4,37.92%,2,50,"20,229",7,61.59%,3,43,"10,414",4,31.71%,3,74,"10,367",4,31.56%,3,88,"9,339",3,28.43%,2,22
E01010951,Calderdale 023D,E02002266,Rastrick,E08000033,Calderdale,"16,246",5,49.46%,4,58,"14,876",5,45.29%,3,55,"16,788",6,51.11%,5,69,"29,015",9,88.34%,6,90,"19,314",6,58.81%,5,70,"23,533",8,71.65%,4,63,"4,497",2,13.69%,2,45,"3,875",2,11.80%,2,51,"9,377",3,28.55%,3,23
E01010947,Calderdale 023B,E02002266,Rastrick,E08000033,Calderdale,"29,772",10,90.65%,6,119,"30,874",10,94.00%,6,122,"26,769",9,81.50%,6,109,"27,148",9,82.66%,4,76,"12,748",4,38.81%,3,52,"30,482",10,92.81%,6,121,"15,559",5,47.37%,6,106,"14,714",5,44.80%,6,114,"13,457",5,40.97%,4,44
E01010945,Calderdale 024D,E02002267,Rastrick,E08000033,Calderdale,"15,712",5,47.84%,3,55,"16,353",5,49.79%,4,59,"14,356",5,43.71%,4,61,"32,004",10,97.44%,7,124,"24,366",8,74.19%,7,95,"27,679",9,84.27%,5,92,"12,897",4,39.27%,4,88,"10,855",4,33.05%,4,91,"14,752",5,44.92%,5,50
E01010946,Calderdale 023A,E02002266,Rastrick,E08000033,Calderdale,"31,552",10,96.07%,7,127,"32,021",10,97.49%,7,127,"29,596",10,90.11%,7,121,"25,401",8,77.34%,3,66,"11,036",4,33.60%,1,42,"30,598",10,93.16%,7,123,"22,736",7,69.22%,7,126,"23,178",8,70.57%,7,127,"15,826",5,48.19%,6,58
E01010895,Calderdale 024C,E02002267,Rastrick,E08000033,Calderdale,"10,027",4,30.53%,1,38,"13,523",5,41.17%,2,47,"7,343",3,22.36%,1,33,"24,344",8,74.12%,2,61,"16,644",6,50.68%,4,65,"18,817",6,57.29%,2,35,"14,542",5,44.28%,5,99,"11,953",4,36.39%,5,99,"16,933",6,51.56%,7,72
E01010958,Calderdale 020C,E02002263,Ryburn,E08000033,Calderdale,"4,283",2,13.04%,1,22,"4,209",2,12.82%,1,11,"4,586",2,13.96%,1,22,"26,193",8,79.75%,4,69,"21,222",7,64.61%,5,79,"16,992",6,51.74%,1,27,"15,508",5,47.22%,6,105,"12,273",4,37.37%,6,105,"19,136",6,58.26%,1,90
E01010953,Calderdale 027B,E02002270,Ryburn,E08000033,Calderdale,"29,480",9,89.76%,5,117,"31,505",10,95.92%,5,124,"25,659",8,78.12%,4,107,"15,343",5,46.71%,3,20,"5,484",2,16.70%,3,17,"29,265",9,89.10%,5,110,"12,918",4,39.33%,3,89,"9,107",3,27.73%,3,80,"20,900",7,63.63%,2,101
E01010959,Calderdale 020D,E02002263,Ryburn,E08000033,Calderdale,"10,448",4,31.81%,2,39,"13,880",5,42.26%,2,49,"7,760",3,23.63%,2,35,"28,753",9,87.54%,5,87,"20,475",7,62.34%,4,76,"21,671",7,65.98%,2,54,"15,184",5,46.23%,5,102,"11,242",4,34.23%,5,94,"21,502",7,65.47%,3,107
E01010955,Calderdale 027D,E02002270,Ryburn,E08000033,Calderdale,"29,320",9,89.27%,4,114,"29,416",9,89.56%,4,113,"27,198",9,82.81%,5,113,"5,210",2,15.86%,1,2,"2,025",1,6.17%,1,2,"26,070",8,79.38%,3,81,"3,817",2,11.62%,2,42,"1,949",1,5.93%,2,33,"23,150",8,70.48%,4,116
E01010954,Calderdale 027C,E02002270,Ryburn,E08000033,Calderdale,"31,871",10,97.04%,6,128,"31,825",10,96.90%,6,126,"30,571",10,93.08%,6,125,"12,218",4,37.20%,2,14,"4,120",2,12.54%,2,10,"30,140",10,91.77%,6,118,"14,383",5,43.79%,4,98,"9,331",3,28.41%,4,82,"26,687",9,81.25%,5,124
E01010952,Calderdale 027A,E02002270,Ryburn,E08000033,Calderdale,"21,035",7,64.05%,3,80,"18,115",6,55.15%,3,65,"22,754",7,69.28%,3,93,"31,589",10,96.18%,6,120,"21,999",7,66.98%,6,85,"28,380",9,86.41%,4,98,"2,759",1,8.40%,1,27,"1,217",1,3.71%,1,21,"26,992",9,82.18%,6,125
E01010974,Calderdale 016C,E02002259,Skircoat,E08000033,Calderdale,"11,430",4,34.80%,1,42,"14,363",5,43.73%,1,52,"8,939",3,27.22%,1,40,"29,446",9,89.65%,4,95,"26,804",9,81.61%,6,103,"17,653",6,53.75%,1,31,"1,838",1,5.60%,1,19,"1,872",1,5.70%,1,31,"6,966",3,21.21%,1,8
E01010971,Calderdale 021B,E02002264,Skircoat,E08000033,Calderdale,"30,191",10,91.92%,6,122,"28,338",9,86.28%,4,107,"30,095",10,91.63%,7,123,"32,618",10,99.31%,7,128,"28,161",9,85.74%,7,113,"29,074",9,88.52%,7,107,"8,495",3,25.86%,5,64,"7,894",3,24.03%,6,73,"9,685",3,29.49%,2,26
E01010968,Calderdale 021A,E02002264,Skircoat,E08000033,Calderdale,"31,014",10,94.43%,7,124,"30,567",10,93.07%,6,120,"29,694",10,90.41%,6,122,"22,692",7,69.09%,2,51,"10,375",4,31.59%,2,36,"26,691",9,81.27%,5,87,"5,611",2,17.08%,4,55,"4,580",2,13.94%,4,58,"10,819",4,32.94%,3,30
E01010970,Calderdale 016B,E02002259,Skircoat,E08000033,Calderdale,"29,917",10,91.09%,5,120,"31,093",10,94.67%,7,123,"26,858",9,81.77%,4,111,"29,447",9,89.66%,5,96,"19,558",6,59.55%,4,72,"24,214",8,73.72%,4,71,"3,174",1,9.66%,2,33,"2,220",1,6.76%,2,38,"13,120",4,39.95%,4,42
E01010972,Calderdale 021C,E02002264,Skircoat,E08000033,Calderdale,"29,445",9,89.65%,4,115,"28,744",9,87.52%,5,109,"28,073",9,85.47%,5,116,"25,664",8,78.14%,3,68,"12,451",4,37.91%,3,49,"27,761",9,84.52%,6,94,"9,089",3,27.67%,6,68,"6,641",3,20.22%,5,67,"16,051",5,48.87%,5,59
E01010969,Calderdale 016A,E02002259,Skircoat,E08000033,Calderdale,"24,750",8,75.36%,2,94,"21,156",7,64.41%,2,77,"26,818",9,81.65%,3,110,"29,751",10,90.58%,6,98,"20,161",7,61.38%,5,74,"24,198",8,73.68%,3,70,"5,019",2,15.28%,3,50,"3,242",1,9.87%,3,45,"16,292",5,49.60%,6,61
E01010973,Calderdale 021D,E02002264,Skircoat,E08000033,Calderdale,"27,238",9,82.93%,3,104,"28,231",9,85.95%,3,106,"24,386",8,74.25%,2,102,"17,613",6,53.63%,1,26,"7,971",3,24.27%,1,23,"24,050",8,73.22%,2,69,"15,257",5,46.45%,7,103,"12,137",4,36.95%,7,102,"18,758",6,57.11%,7,87
E01010981,Calderdale 017F,E02002260,Sowerby Bridge,E08000033,Calderdale,"8,756",3,26.66%,1,33,"6,522",2,19.86%,1,21,"11,733",4,35.72%,3,47,"31,111",10,94.72%,6,115,"28,239",9,85.98%,5,114,"20,534",7,62.52%,2,46,665,1,2.02%,2,12,727,1,2.21%,2,12,"7,876",3,23.98%,1,16
E01010979,Calderdale 017D,E02002260,Sowerby Bridge,E08000033,Calderdale,"10,525",4,32.05%,3,40,"8,129",3,24.75%,2,25,"13,469",5,41.01%,5,57,"28,939",9,88.11%,4,89,"30,779",10,93.71%,7,123,"14,613",5,44.49%,1,16,"10,163",4,30.94%,5,73,"10,286",4,31.32%,6,86,"8,905",3,27.11%,2,18
E01010976,Calderdale 017B,E02002260,Sowerby Bridge,E08000033,Calderdale,"24,632",8,75.00%,7,92,"27,146",9,82.65%,7,100,"20,686",7,62.98%,7,85,"27,345",9,83.26%,3,80,"13,436",5,40.91%,2,55,"29,363",9,89.40%,7,113,"11,493",4,34.99%,6,80,"10,317",4,31.41%,7,87,"12,084",4,36.79%,3,36
E01010975,Calderdale 017A,E02002260,Sowerby Bridge,E08000033,Calderdale,"18,379",6,55.96%,5,71,"25,789",8,78.52%,6,92,"12,290",4,37.42%,4,51,"27,028",9,82.29%,2,75,"16,225",5,49.40%,3,64,"23,811",8,72.50%,5,66,"11,494",4,35.00%,7,81,"9,929",4,30.23%,5,83,"13,042",4,39.71%,4,40
E01010978,Calderdale 017C,E02002260,Sowerby Bridge,E08000033,Calderdale,"11,718",4,35.68%,4,45,"11,886",4,36.19%,4,38,"11,375",4,34.63%,2,45,"30,355",10,92.42%,5,103,"21,993",7,66.96%,4,84,"23,790",8,72.43%,4,65,"3,487",2,10.62%,3,37,"2,144",1,6.53%,3,36,"16,725",6,50.92%,5,69
E01010980,Calderdale 017E,E02002260,Sowerby Bridge,E08000033,Calderdale,"9,798",3,29.83%,2,37,"11,741",4,35.75%,3,36,"8,121",3,24.73%,1,37,"31,482",10,95.85%,7,119,"29,708",10,90.45%,6,120,"20,635",7,62.83%,3,48,477,1,1.45%,1,9,245,1,0.75%,1,4,"17,762",6,54.08%,6,77
E01010977,Calderdale 016D,E02002259,Sowerby Bridge,E08000033,Calderdale,"19,913",7,60.63%,6,74,"18,589",6,56.60%,5,69,"19,853",7,60.45%,6,84,"25,465",8,77.53%,1,67,"12,340",4,37.57%,1,48,"27,562",9,83.92%,6,90,"8,223",3,25.04%,4,63,"5,038",2,15.34%,4,59,"21,077",7,64.17%,7,104
E01010983,Calderdale 013B,E02002256,Todmorden,E08000033,Calderdale,"15,433",5,46.99%,3,54,"12,869",4,39.18%,3,43,"17,577",6,53.52%,4,73,"30,847",10,93.92%,7,109,"31,555",10,96.08%,8,127,"17,675",6,53.82%,1,32,646,1,1.97%,1,10,401,1,1.22%,1,8,"15,149",5,46.12%,1,53
E01010886,Calderdale 022C,E02002265,Todmorden,E08000033,Calderdale,"16,561",6,50.42%,6,61,"14,812",5,45.10%,6,54,"17,451",6,53.13%,3,72,"7,842",3,23.88%,1,8,"3,362",2,10.24%,1,6,"23,771",8,72.38%,4,64,"10,038",4,30.56%,7,71,"7,407",3,22.55%,7,70,"16,477",6,50.17%,2,65
E01010982,Calderdale 013A,E02002256,Todmorden,E08000033,Calderdale,"16,795",6,51.14%,7,65,"14,184",5,43.19%,5,50,"18,668",6,56.84%,5,78,"30,535",10,92.97%,6,104,"19,603",6,59.69%,6,73,"27,311",9,83.15%,8,89,"3,034",1,9.24%,3,30,"1,776",1,5.41%,3,28,"17,741",6,54.02%,3,76
E01010985,Calderdale 013C,E02002256,Todmorden,E08000033,Calderdale,"16,530",6,50.33%,5,60,"13,529",5,41.19%,4,48,"19,041",6,57.97%,6,79,"9,445",3,28.76%,2,10,"4,317",2,13.14%,2,12,"22,542",7,68.63%,3,60,"4,915",2,14.96%,4,49,"2,845",1,8.66%,5,42,"19,830",7,60.38%,4,91
E01010987,Calderdale 013E,E02002256,Todmorden,E08000033,Calderdale,"15,942",5,48.54%,4,57,"12,530",4,38.15%,2,42,"19,249",6,58.61%,7,80,"19,270",6,58.67%,4,33,"8,694",3,26.47%,3,27,"24,845",8,75.65%,6,73,"6,729",3,20.49%,6,60,"3,978",2,12.11%,6,52,"20,501",7,62.42%,5,97
E01010885,Calderdale 022B,E02002265,Todmorden,E08000033,Calderdale,"25,584",8,77.90%,8,97,"25,465",8,77.53%,8,90,"23,765",8,72.36%,8,98,"31,252",10,95.15%,8,117,"23,347",8,71.08%,7,92,"25,349",8,77.18%,7,78,"5,102",2,15.53%,5,51,"2,824",1,8.60%,4,41,"21,680",7,66.01%,6,109
E01010988,Calderdale 013F,E02002256,Todmorden,E08000033,Calderdale,"12,321",4,37.51%,1,47,"15,530",5,47.28%,7,57,"9,565",3,29.12%,1,41,"16,708",6,50.87%,3,24,"8,890",3,27.07%,4,28,"20,284",7,61.76%,2,44,"12,302",4,37.46%,8,85,"7,861",3,23.93%,8,72,"24,518",8,74.65%,7,120
E01010986,Calderdale 013D,E02002256,Todmorden,E08000033,Calderdale,"12,955",4,39.44%,2,48,"12,270",4,37.36%,1,39,"13,370",5,40.71%,2,56,"22,863",7,69.61%,5,52,"11,800",4,35.93%,5,46,"23,833",8,72.56%,5,67,"2,880",1,8.77%,2,28,"1,321",1,4.02%,2,23,"25,612",8,77.98%,8,122
E01010994,Calderdale 008E,E02002251,Town,E08000033,Calderdale,"15,045",5,45.81%,6,53,"20,247",7,61.65%,7,72,"10,598",4,32.27%,4,43,"23,719",8,72.22%,5,57,"29,617",10,90.17%,7,118,"10,043",4,30.58%,1,8,252,1,0.77%,1,2,615,1,1.87%,1,10,"3,945",2,12.01%,1,1
E01010993,Calderdale 018E,E02002261,Town,E08000033,Calderdale,"9,664",3,29.42%,3,36,"12,414",4,37.80%,4,41,"7,482",3,22.78%,3,34,"21,752",7,66.23%,3,47,"13,820",5,42.08%,4,57,"18,858",6,57.42%,3,36,"3,042",1,9.26%,3,31,"3,991",2,12.15%,5,53,"4,106",2,12.50%,2,2
E01010989,Calderdale 018A,E02002261,Town,E08000033,Calderdale,"23,036",8,70.14%,8,88,"26,571",9,80.90%,8,95,"18,564",6,56.52%,8,76,"20,160",7,61.38%,1,38,"9,655",3,29.40%,1,33,"23,946",8,72.91%,6,68,"4,159",2,12.66%,6,43,"4,433",2,13.50%,6,56,"6,129",2,18.66%,3,6
E01010992,Calderdale 018D,E02002261,Town,E08000033,Calderdale,"13,322",5,40.56%,4,50,"12,360",4,37.63%,3,40,"13,961",5,42.51%,6,59,"21,709",7,66.10%,2,45,"11,032",4,33.59%,3,41,"23,478",8,71.48%,5,62,"3,718",2,11.32%,5,40,"3,493",2,10.64%,4,47,"7,832",3,23.85%,4,14
E01010967,Calderdale 008D,E02002251,Town,E08000033,Calderdale,"5,266",2,16.03%,1,26,"4,266",2,12.99%,1,12,"6,675",3,20.32%,1,30,"27,228",9,82.90%,7,78,"28,004",9,85.26%,6,112,"13,983",5,42.57%,2,12,"2,933",1,8.93%,2,29,"1,902",1,5.79%,3,32,"14,670",5,44.67%,5,49
E01010990,Calderdale 018B,E02002261,Town,E08000033,Calderdale,"13,560",5,41.29%,5,51,"16,286",5,49.59%,5,58,"10,932",4,33.28%,5,44,"32,464",10,98.84%,8,127,"30,843",10,93.91%,8,124,"24,912",8,75.85%,7,75,"11,432",4,34.81%,8,79,"8,795",3,26.78%,8,77,"16,340",5,49.75%,6,63
E01010991,Calderdale 018C,E02002261,Town,E08000033,Calderdale,"17,517",6,53.33%,7,68,"19,725",7,60.06%,6,71,"14,562",5,44.34%,7,62,"23,658",8,72.03%,4,55,"10,428",4,31.75%,2,37,"28,417",9,86.52%,8,99,"9,291",3,28.29%,7,69,"6,508",2,19.81%,7,65,"17,536",6,53.39%,7,74
E01032923,Calderdale 008F,E02002251,Town,E08000033,Calderdale,"8,188",3,24.93%,2,32,"9,344",3,28.45%,2,32,"7,212",3,21.96%,2,32,"26,775",9,81.52%,6,74,"19,087",6,58.11%,5,69,"19,838",7,60.40%,4,41,"3,300",2,10.05%,4,34,"1,802",1,5.49%,2,29,"20,159",7,61.38%,8,95
E01010929,Calderdale 010A,E02002253,Warley,E08000033,Calderdale,"3,264",1,9.94%,2,16,"2,098",1,6.39%,1,2,"5,523",2,16.82%,3,25,"28,686",9,87.34%,4,86,"28,378",9,86.40%,5,115,"15,522",5,47.26%,1,19,"1,006",1,3.06%,1,13,790,1,2.41%,1,14,"11,061",4,33.68%,1,31
E01010998,Calderdale 010C,E02002253,Warley,E08000033,Calderdale,"11,650",4,35.47%,4,44,"15,429",5,46.98%,4,56,"8,637",3,26.30%,4,39,"31,790",10,96.79%,7,121,"30,594",10,93.15%,6,122,"21,127",7,64.33%,4,50,"7,981",3,24.30%,3,62,"5,646",2,17.19%,3,63,"15,795",5,48.09%,2,57
E01010927,Calderdale 009A,E02002252,Warley,E08000033,Calderdale,"20,668",7,62.93%,6,79,"22,510",7,68.54%,5,79,"17,642",6,53.71%,6,74,"14,262",5,43.42%,2,18,"5,035",2,15.33%,2,16,"29,272",9,89.12%,6,111,"17,377",6,52.91%,7,116,"15,481",5,47.13%,7,116,"16,843",6,51.28%,3,71
E01010930,Calderdale 010B,E02002253,Warley,E08000033,Calderdale,"4,599",2,14.00%,3,24,"4,392",2,13.37%,3,13,"5,054",2,15.39%,2,23,"30,139",10,91.76%,6,101,"32,332",10,98.44%,7,128,"15,688",5,47.77%,3,23,"3,628",2,11.05%,2,39,"2,140",1,6.52%,2,35,"18,045",6,54.94%,4,79
E01010928,Calderdale 009B,E02002252,Warley,E08000033,Calderdale,"2,946",1,8.97%,1,13,"3,383",2,10.30%,2,5,"2,926",1,8.91%,1,16,"25,309",8,77.06%,3,65,"21,532",7,65.56%,4,81,"15,668",5,47.70%,2,22,"10,782",4,32.83%,4,76,"7,667",3,23.34%,4,71,"18,370",6,55.93%,5,83
E01010999,Calderdale 009D,E02002252,Warley,E08000033,Calderdale,"18,231",6,55.51%,5,70,"22,993",8,70.01%,6,82,"13,591",5,41.38%,5,58,"29,207",9,88.93%,5,93,"15,031",5,45.76%,3,58,"30,665",10,93.37%,7,124,"15,285",5,46.54%,5,104,"12,224",4,37.22%,6,104,"18,588",6,56.59%,6,86
E01010997,Calderdale 009C,E02002252,Warley,E08000033,Calderdale,"24,634",8,75.00%,7,93,"24,658",8,75.08%,7,86,"22,781",7,69.36%,7,94,"13,132",4,39.98%,1,15,"4,721",2,14.37%,1,14,"28,520",9,86.83%,5,100,"16,088",5,48.98%,6,110,"11,672",4,35.54%,5,98,"23,447",8,71.39%,7,118
