ID,LSOA11CD,POPULATION,CRIMETYPE1,TIMEPERIOD,RT1000POP,NO_INCID
39,E01025095,1587,All Burglary,SEP-2014 to AUG-2015,14,22
43,E01025096,1607,All Burglary,SEP-2014 to AUG-2015,7,12
47,E01025098,1342,All Burglary,SEP-2014 to AUG-2015,8,11
49,E01025099,1516,All Burglary,SEP-2014 to AUG-2015,18,27
45,E01025097,1519,All Burglary,SEP-2014 to AUG-2015,6,9
50,E01025100,1539,All Burglary,SEP-2014 to AUG-2015,13,20
55,E01025102,1474,All Burglary,SEP-2014 to AUG-2015,10,15
59,E01025103,1365,All Burglary,SEP-2014 to AUG-2015,15,21
63,E01025105,6188,All Burglary,SEP-2014 to AUG-2015,2,14
53,E01025101,1440,All Burglary,SEP-2014 to AUG-2015,17,24
66,E01025106,2545,All Burglary,SEP-2014 to AUG-2015,6,15
68,E01025107,1648,All Burglary,SEP-2014 to AUG-2015,13,21
71,E01025108,1228,All Burglary,SEP-2014 to AUG-2015,7,8
74,E01025109,1085,All Burglary,SEP-2014 to AUG-2015,6,7
81,E01025111,1767,All Burglary,SEP-2014 to AUG-2015,10,17
77,E01025110,1441,All Burglary,SEP-2014 to AUG-2015,28,40
84,E01025112,1669,All Burglary,SEP-2014 to AUG-2015,13,21
105,E01025118,1133,All Burglary,SEP-2014 to AUG-2015,12,14
108,E01025119,1344,All Burglary,SEP-2014 to AUG-2015,12,16
110,E01025120,1456,All Burglary,SEP-2014 to AUG-2015,15,22
356,E01025214,1380,All Burglary,SEP-2014 to AUG-2015,3,4
364,E01025215,1417,All Burglary,SEP-2014 to AUG-2015,6,8
371,E01025216,2136,All Burglary,SEP-2014 to AUG-2015,8,18
101,E01025117,1398,All Burglary,SEP-2014 to AUG-2015,24,33
380,E01025217,1484,All Burglary,SEP-2014 to AUG-2015,14,21
388,E01025218,1269,All Burglary,SEP-2014 to AUG-2015,8,10
406,E01025220,1607,All Burglary,SEP-2014 to AUG-2015,9,15
730,E01025028,1334,All Burglary,SEP-2014 to AUG-2015,4,5
735,E01025029,1923,All Burglary,SEP-2014 to AUG-2015,5,9
741,E01025030,1605,All Burglary,SEP-2014 to AUG-2015,2,3
747,E01025031,1208,All Burglary,SEP-2014 to AUG-2015,12,14
754,E01025032,1438,All Burglary,SEP-2014 to AUG-2015,7,10
758,E01025033,2247,All Burglary,SEP-2014 to AUG-2015,8,19
583,E01024955,1482,All Burglary,SEP-2014 to AUG-2015,2,3
587,E01024956,1424,All Burglary,SEP-2014 to AUG-2015,2,3
589,E01024957,1470,All Burglary,SEP-2014 to AUG-2015,3,4
597,E01024960,1653,All Burglary,SEP-2014 to AUG-2015,4,7
600,E01024961,1637,All Burglary,SEP-2014 to AUG-2015,2,4
602,E01024962,1545,All Burglary,SEP-2014 to AUG-2015,3,4
610,E01024964,1444,All Burglary,SEP-2014 to AUG-2015,4,6
616,E01024965,1404,All Burglary,SEP-2014 to AUG-2015,9,12
625,E01024966,1561,All Burglary,SEP-2014 to AUG-2015,4,6
628,E01024967,1286,All Burglary,SEP-2014 to AUG-2015,2,3
650,E01024970,1352,All Burglary,SEP-2014 to AUG-2015,1,2
655,E01024971,1296,All Burglary,SEP-2014 to AUG-2015,4,5
661,E01024972,1244,All Burglary,SEP-2014 to AUG-2015,4,5
711,E01025023,1324,All Burglary,SEP-2014 to AUG-2015,3,4
716,E01025024,1365,All Burglary,SEP-2014 to AUG-2015,5,7
720,E01025025,1553,All Burglary,SEP-2014 to AUG-2015,5,7
723,E01025026,1353,All Burglary,SEP-2014 to AUG-2015,14,19
726,E01025027,1882,All Burglary,SEP-2014 to AUG-2015,11,20
89,E01025113,1539,All Burglary,SEP-2014 to AUG-2015,14,22
92,E01025114,1535,All Burglary,SEP-2014 to AUG-2015,14,21
95,E01025115,1617,All Burglary,SEP-2014 to AUG-2015,5,8
98,E01025116,1377,All Burglary,SEP-2014 to AUG-2015,10,14
866,E01025071,1368,All Burglary,SEP-2014 to AUG-2015,8,11
871,E01025073,1248,All Burglary,SEP-2014 to AUG-2015,2,2
663,E01024973,2139,All Burglary,SEP-2014 to AUG-2015,6,12
695,E01024974,1555,All Burglary,SEP-2014 to AUG-2015,3,5
698,E01024975,3282,All Burglary,SEP-2014 to AUG-2015,3,9
709,E01024977,2245,All Burglary,SEP-2014 to AUG-2015,7,16
714,E01024978,1371,All Burglary,SEP-2014 to AUG-2015,6,8
722,E01024979,1355,All Burglary,SEP-2014 to AUG-2015,8,11
422,E01024993,1466,All Burglary,SEP-2014 to AUG-2015,6,9
446,E01024997,1425,All Burglary,SEP-2014 to AUG-2015,5,7
454,E01024998,1823,All Burglary,SEP-2014 to AUG-2015,3,6
461,E01024999,1480,All Burglary,SEP-2014 to AUG-2015,1,1
762,E01025034,1657,All Burglary,SEP-2014 to AUG-2015,10,16
765,E01025035,1491,All Burglary,SEP-2014 to AUG-2015,9,13
767,E01025036,1459,All Burglary,SEP-2014 to AUG-2015,49,72
772,E01025037,1406,All Burglary,SEP-2014 to AUG-2015,18,25
773,E01025038,1340,All Burglary,SEP-2014 to AUG-2015,7,9
777,E01025039,1203,All Burglary,SEP-2014 to AUG-2015,2,2
779,E01025040,1483,All Burglary,SEP-2014 to AUG-2015,9,13
783,E01025041,1691,All Burglary,SEP-2014 to AUG-2015,17,29
785,E01025042,2140,All Burglary,SEP-2014 to AUG-2015,4,9
787,E01025044,1225,All Burglary,SEP-2014 to AUG-2015,15,18
789,E01025045,1293,All Burglary,SEP-2014 to AUG-2015,4,5
794,E01025046,1219,All Burglary,SEP-2014 to AUG-2015,9,11
796,E01025048,1547,All Burglary,SEP-2014 to AUG-2015,1,2
797,E01025049,1589,All Burglary,SEP-2014 to AUG-2015,11,17
800,E01025050,1496,All Burglary,SEP-2014 to AUG-2015,14,21
803,E01025051,1402,All Burglary,SEP-2014 to AUG-2015,7,10
807,E01025052,1473,All Burglary,SEP-2014 to AUG-2015,11,16
811,E01025053,1546,All Burglary,SEP-2014 to AUG-2015,5,7
813,E01025054,1680,All Burglary,SEP-2014 to AUG-2015,9,15
816,E01025055,1515,All Burglary,SEP-2014 to AUG-2015,7,10
819,E01025056,1328,All Burglary,SEP-2014 to AUG-2015,8,10
825,E01025057,1644,All Burglary,SEP-2014 to AUG-2015,9,14
827,E01025058,1366,All Burglary,SEP-2014 to AUG-2015,9,12
829,E01025059,1461,All Burglary,SEP-2014 to AUG-2015,9,13
831,E01025060,1467,All Burglary,SEP-2014 to AUG-2015,5,8
834,E01025061,1456,All Burglary,SEP-2014 to AUG-2015,14,21
838,E01025062,1612,All Burglary,SEP-2014 to AUG-2015,11,17
845,E01025064,1558,All Burglary,SEP-2014 to AUG-2015,4,6
850,E01025065,1644,All Burglary,SEP-2014 to AUG-2015,6,10
855,E01025067,1515,All Burglary,SEP-2014 to AUG-2015,18,27
859,E01025068,1527,All Burglary,SEP-2014 to AUG-2015,29,44
870,E01025072,1371,All Burglary,SEP-2014 to AUG-2015,15,20
872,E01025074,1374,All Burglary,SEP-2014 to AUG-2015,9,13
873,E01025075,1708,All Burglary,SEP-2014 to AUG-2015,11,19
874,E01025076,1376,All Burglary,SEP-2014 to AUG-2015,9,13
875,E01025077,1390,All Burglary,SEP-2014 to AUG-2015,7,10
843,E01025063,1489,All Burglary,SEP-2014 to AUG-2015,3,5
853,E01025066,1579,All Burglary,SEP-2014 to AUG-2015,6,9
876,E01025078,1499,All Burglary,SEP-2014 to AUG-2015,4,6
863,E01025069,1475,All Burglary,SEP-2014 to AUG-2015,11,16
865,E01025070,1170,All Burglary,SEP-2014 to AUG-2015,11,13
126,E01025124,1536,All Burglary,SEP-2014 to AUG-2015,12,18
132,E01025125,1506,All Burglary,SEP-2014 to AUG-2015,9,14
324,E01024904,1732,All Burglary,SEP-2014 to AUG-2015,18,32
330,E01024905,1216,All Burglary,SEP-2014 to AUG-2015,25,30
337,E01024906,1580,All Burglary,SEP-2014 to AUG-2015,30,47
340,E01024907,1227,All Burglary,SEP-2014 to AUG-2015,20,24
142,E01025128,1334,All Burglary,SEP-2014 to AUG-2015,4,5
144,E01025129,1329,All Burglary,SEP-2014 to AUG-2015,14,18
348,E01024909,1532,All Burglary,SEP-2014 to AUG-2015,17,26
350,E01024910,1444,All Burglary,SEP-2014 to AUG-2015,31,45
426,E01025547,1980,All Burglary,SEP-2014 to AUG-2015,6,12
435,E01025548,1536,All Burglary,SEP-2014 to AUG-2015,5,7
440,E01025549,2181,All Burglary,SEP-2014 to AUG-2015,2,4
460,E01025552,1265,All Burglary,SEP-2014 to AUG-2015,5,6
608,E01025553,2611,All Burglary,SEP-2014 to AUG-2015,3,7
618,E01025555,1349,All Burglary,SEP-2014 to AUG-2015,1,1
281,E01024892,1427,All Burglary,SEP-2014 to AUG-2015,17,24
286,E01024893,1480,All Burglary,SEP-2014 to AUG-2015,34,50
292,E01024894,1390,All Burglary,SEP-2014 to AUG-2015,4,6
297,E01024896,1332,All Burglary,SEP-2014 to AUG-2015,8,11
299,E01024897,1436,All Burglary,SEP-2014 to AUG-2015,24,35
303,E01024898,1549,All Burglary,SEP-2014 to AUG-2015,19,29
877,E01025079,1644,All Burglary,SEP-2014 to AUG-2015,4,7
893,E01025085,1412,All Burglary,SEP-2014 to AUG-2015,9,13
121,E01025123,2378,All Burglary,SEP-2014 to AUG-2015,5,11
