DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-07-13,2017,Q3,Jul,13,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,400,4000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,100,500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),200,1200,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,CN,Felixstowe P,CN,China,GB,GB,12024100,In shell,1640,18598,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,CN,Felixstowe P,CN,China,GB,GB,12024100,In shell,1640,18598,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,CN,Felixstowe P,CN,China,GB,GB,12024100,In shell,1640,18598,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12374.4,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,1600,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,1600,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,1280,15360,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,4800,60000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,4800,60000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,4800,60000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2496,9960,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,625,12500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-13,2017,Q3,Jul,13,2017-07,,CN,Felixstowe P,CN,China,GB,GB,12024100,In shell,1640,18598,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,BR,London Gateway,BR,Brazil,GB,GB,12024200,Shelled whether or not broken,1000,25000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,BR,London Gateway,BR,Brazil,GB,GB,12024200,Shelled whether or not broken,1000,25000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,150,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TH,Manchester,TH,Thailand,GB,GB,7096099,Other,25,79,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TH,Manchester,TH,Thailand,GB,GB,7082000,Beans (Vigna spp. Phaseolus spp.),18,86,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,140,560,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),14,480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Felixstowe P,IN,India,GB,GB,13023290,Of guar seeds,400,10000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,3600,16200,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,KE,Heathrow,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),49,2166,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,AE,Southampton P,CN,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,242,115.63,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,150,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),3,120,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Heathrow,IN,India,GB,GB,7099990,Other,161,763,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,EG,London Gateway,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),198,1188,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,1800,16200,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,DO,Gatwick,DO,Dominican Republic,GB,GB,7082000,Beans (Vigna spp. Phaseolus spp.),120,600,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2450,12250,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,1650,20625,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062090,Other,1680,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,JP,Heathrow,JP,Japan,GB,GB,7095990,Other,2,4.4,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,JP,Heathrow,JP,Japan,GB,GB,7099990,Other,2,4.4,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,5,40,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,30,300,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,10,72,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,25,150,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,25,150,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,25,250,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,25,250,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TR,Belfast City Council (CED),TR,Turkey,GB,GB,80620,Dried,1500,18000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,ID,Felixstowe P,ID,Indonesia,GB,GB,9081200,Crushed or ground,200,5000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,JP,Felixstowe P,JP,Japan,GB,GB,10063094,Medium grain,2400,24000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,CN,Felixstowe P,CN,China,GB,GB,12024200,Shelled whether or not broken,840,21000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TR,Belfast City Council (CED),TR,Turkey,GB,GB,80620,Dried,1600,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2685,12830,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,London Gateway,IN,India,GB,GB,9042200,Crushed or ground,40,1000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,JP,Heathrow,JP,Japan,GB,GB,21069092,Containing no milkfats sucrose isoglucose glucose or starch or containing by weight less than 1.5|% milkfat 5|% sucrose or isoglucose 5|% glucose or starch,14,98.04,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,JP,Heathrow,JP,Japan,GB,GB,7095990,Other,2,4.4,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2400,12000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,Felixstowe P,IN,India,GB,GB,13023290,Of guar seeds,400,10000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Pentachlorophenol (PCP),satisfactory,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,IN,London Gateway,IN,India,GB,GB,9042200,Crushed or ground,244,6100,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.MYCOTOXINS,satisfactory,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1680,21000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1600,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-07,,BR,London Gateway,BR,Brazil,GB,GB,12024200,Shelled whether or not broken,20,25000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-08,,IN,Felixstowe P,IN,India,IE,GB,13023290,Of guar seeds,160,4000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-08,,IN,Felixstowe P,IN,India,IE,GB,13023290,Of guar seeds,160,4000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-08,,IN,Felixstowe P,IN,India,IE,GB,13023290,Of guar seeds,160,4000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-14,2017,Q3,Jul,14,2017-08,,IN,Felixstowe P,IN,India,IE,GB,13023290,Of guar seeds,160,4000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-15,2017,Q3,Jul,15,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),250,500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-15,2017,Q3,Jul,15,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),13,88.8,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-15,2017,Q3,Jul,15,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,504,1008,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-15,2017,Q3,Jul,15,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,140,560,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-15,2017,Q3,Jul,15,2017-07,,UG,Heathrow,UG,Uganda,GB,GB,7093000,Aubergines (eggplants),48,311,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-15,2017,Q3,Jul,15,2017-07,,IN,Heathrow,IN,India,GB,GB,7099990,Other,485,1735,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-15,2017,Q3,Jul,15,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8042090,Dried,1144,6864,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-15,2017,Q3,Jul,15,2017-07,,LK,Felixstowe P,LK,Sri Lanka,GB,GB,9042190,Other,47,230,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,875,2460,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),30,165,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),400,2000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,CN,Heathrow,CN,China,GB,GB,7049090,Other,200,1140,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,200,800,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),600,1600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,UG,Gatwick,UG,Uganda,GB,GB,7093000,Aubergines (eggplants),47,305,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,7096099,Other,250,960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),500,750,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,200,800,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,KE,Heathrow,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),134,1458,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),678,1900,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,293,666,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,No,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),325,1625,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),260,390,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-16,2017,Q3,Jul,16,2017-07,,TH,Heathrow,TH,Thailand,GB,GB,7093000,Aubergines (eggplants),8,40,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,200,400,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,325,6500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,IN,Felixstowe P,IN,India,GB,GB,9042200,Crushed or ground,325,6500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,DO,Gatwick,DO,Dominican Republic,GB,GB,7082000,Beans (Vigna spp. Phaseolus spp.),100,500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,KE,Heathrow,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),250,500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,IN,Heathrow,IN,India,GB,GB,7099990,Other,636,2188,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,CN,Felixstowe P,CN,China,GB,GB,12024200,Shelled whether or not broken,200,5000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,CN,Felixstowe P,CN,China,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,760,19000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,520,1040,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,AR,Felixstowe P,AR,Argentina,GB,BG,12024200,Shelled whether or not broken,20,25180,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,AR,Tilbury P,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,25100,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,AR,Tilbury P,AR,Argentina,GB,GB,12024200,Shelled whether or not broken,20,24940,Feedingstuff,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Feedingstuff,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,80620,Dried,1635,16350,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,80620,Dried,1635,16350,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,80620,Dried,1630,19560,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-17,2017,Q3,Jul,17,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,80620,Dried,2450,17150,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
