"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Catering Rating","23505","26940","Catering Rating","2.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Mechanic AB","28244","28244","Mechanic AB","4.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Seaman","23505","26940","Seaman","24.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","SM2","44820","64032","Legal & Risk Manager","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","SM2","44820","64032","Research Director","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","SM2","44820","64032","RRNAV Manager","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","SM1","38532","55044","Principal Development Engineer","3.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","SM1","38532","55044","Legal Advisor","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","F","32928","47040","Principal Development Engineer (Systems)","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","F","32928","47040","Health & Safety Manager","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","F","32928","47040","Estates & Property Manager","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","F","32928","47040","Project Manager","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","F","32928","47040","Risk Mgmt & Claim Co-ordinator","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","F","32928","47040","Research & Development Engineer","2.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","F","32928","47040","Public Relations Manager","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","E","26484","35316","Performance Manager","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","E","26484","35316","PA to Executive Chairman","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","E","26484","35316","Legal & Support Team Leader","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","E","26484","35316","Development Engineer","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","E","26484","35316","Records Manager","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","D","21396","28524","Secretary and PA","0.76","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","D","21396","28524","Team Administrator","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","D","21396","28524","Assistant to Health & Safety Manager","1.60","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","C","18906","25272","Lights Techinician","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","C","18906","25272","Receptionist/Administrator","2.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH01","C","18906","25272","Management Systems Support Officer","1.00","Policy"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH02","SM2","44820","64032","Navigation Manager","1.00","Other"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH02","SM2","44820","64032","Inspector of Seamarks","1.00","Other"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH02","F","32928","47040","Local Seamarks Auditor","1.00","Other"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH02","E","26484","35316","Navigation Services Officer","1.00","Other"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH02","E","26484","35316","Local Aids To Navigation Officer","1.00","Other"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH02","E","26484","35316","Navigation Support Officer","1.00","Other"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH02","E","26484","35316","Hydrography & Charting Officer","1.00","Other"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","SM2","44820","64032","Planning & Performance Manager","1.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","SM2","44820","64032","Engineering & Operations Manager","1.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","SM2","44820","64032","Marine Operations Manager","1.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","SM2","44820","64032","Engineering & Project Delivery Manager","1.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","SM1","38532","55044","Engineering Officer (SVS)","1.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","SM1","38532","55044","Programme Manager","1.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","SM1","38532","55044","Engineering Manager","1.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","SM1","38532","55044","Technical Superintendent","1.00","Operational delivery"
