Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,PC Total Claimants (2017),PC Claimants: Male (60-64 years),PC Claimants: Male (65+ years),PC Claimants: Female (60-64 years),PC Claimants: Female (65+ years),Adults in PC Households,PC Claimants in receipt of disability premium (60+ years),PC Claimants not in receipt of disability premium (60+ years),PC Claimants - part of a couple (60+ years),PC Claimants - part of a couple and pensionable age (60+/65+ years),PC Claimants - part of a couple and working age (60-64 years),PC Claimants - single (60+ years),PC Claimants - single and pensionable age (60+/65+ years),PC Claimants - single and working age (60-64 years)
95LL21,PARKLAKE,CRAIGAVON,210,0,80,0,120,240,90,110,40,40,0,170,160,0
95LL22,TAGHNEVAN,CRAIGAVON,140,0,70,0,70,180,70,80,40,40,0,100,100,0
95LL23,TAVANAGH,CRAIGAVON,130,0,50,0,70,150,50,70,20,20,0,110,110,0
95LL24,THE BIRCHES,CRAIGAVON,150,0,50,0,90,180,50,90,40,40,0,110,110,0
95LL25,WARINGSTOWN,CRAIGAVON,100,0,30,0,60,120,40,50,20,20,0,70,70,0
95LL26,WOODVILLE,CRAIGAVON,150,0,60,0,80,180,60,80,30,30,0,110,110,0
95MM01,ALTNAGELVIN,DERRY,180,10,70,0,100,220,70,120,40,40,0,140,130,0
95MM02,BALLYNASHALLOG,DERRY,140,0,60,0,80,180,40,100,40,40,0,100,100,0
95MM03,BANAGHER,DERRY,160,0,70,0,80,210,60,90,50,50,0,100,100,0
95MM04,BEECHWOOD,DERRY,210,10,100,0,110,270,80,130,60,60,0,160,150,10
95MM05,BRANDYWELL,DERRY,260,10,120,10,130,300,130,130,40,40,0,220,210,10
95MM06,CARN HILL,DERRY,220,0,90,10,110,280,70,150,60,60,0,150,150,0
95MM07,CAW,DERRY,140,0,50,10,90,170,70,80,20,20,0,120,120,0
95MM08,CLONDERMOT,DERRY,210,0,80,0,120,240,100,100,30,30,0,180,170,0
95MM09,CLAUDY,DERRY,190,0,90,0,100,250,70,120,60,60,0,130,130,0
95MM10,CREGGAN CENTRAL,DERRY,180,0,80,10,100,230,70,110,50,50,0,130,130,0
95MM11,CREGGAN SOUTH,DERRY,170,0,70,0,100,200,70,100,30,30,0,140,130,0
95MM12,CREVAGH,DERRY,180,10,80,10,80,220,80,100,40,40,0,130,130,10
95MM13,CULMORE,DERRY,370,10,170,10,180,480,150,220,110,100,10,260,250,0
95MM14,EBRINGTON,DERRY,220,10,80,0,140,240,80,140,20,20,0,200,190,0
95MM15,EGLINTON,DERRY,170,0,70,0,100,210,70,110,40,40,0,130,130,0
95MM16,ENAGH (DERRY),DERRY,160,10,70,10,80,190,70,90,30,30,0,120,120,10
95MM17,FOYLE SPRINGS,DERRY,150,0,80,0,70,190,70,90,30,30,0,120,120,0
95MM18,HOLLY MOUNT,DERRY,170,10,70,0,90,230,60,110,50,50,0,120,120,0
95MM19,KILFENNAN,DERRY,70,0,30,0,40,90,20,40,20,20,0,50,50,0
95MM20,LISNAGELVIN,DERRY,170,10,50,0,110,210,90,90,40,40,0,130,130,10
95MM21,NEW BUILDINGS,DERRY,100,0,30,0,70,130,40,70,30,20,0,80,80,0
95MM22,PENNYBURN,DERRY,110,0,40,0,70,140,50,60,30,30,0,90,90,0
95MM23,ROSEMOUNT,DERRY,160,10,70,10,80,180,70,90,20,20,0,130,130,0
95MM24,SHANTALLOW EAST,DERRY,190,0,100,10,80,240,70,110,60,60,0,130,130,0
95MM25,SHANTALLOW WEST,DERRY,230,10,100,10,110,300,90,140,70,70,0,160,160,0
95MM26,SPRINGTOWN,DERRY,120,10,50,10,60,160,40,80,40,40,0,80,80,0
95MM27,STRAND (DERRY),DERRY,240,10,110,10,120,270,100,140,30,30,0,210,210,10
95MM28,THE DIAMOND,DERRY,160,0,80,10,70,180,70,90,30,30,0,130,130,0
95MM29,VICTORIA (DERRY),DERRY,150,0,60,0,80,170,60,90,20,20,0,130,120,0
95MM30,WESTLAND,DERRY,200,0,80,0,110,240,90,110,40,40,0,160,150,0
95NN01,ARDGLASS,DOWN,160,0,70,10,80,190,50,110,30,30,0,120,120,0
95NN02,AUDLEYS ACRE,DOWN,50,0,20,0,20,60,20,30,10,10,0,30,30,0
95NN03,BALLYMAGLAVE,DOWN,120,0,40,0,80,140,70,50,20,20,0,100,90,0
95NN04,BALLYMOTE,DOWN,140,0,50,10,80,160,60,80,20,20,0,120,120,0
95NN05,BALLYNAHINCH EAST,DOWN,110,0,40,0,70,140,50,60,20,20,0,90,90,0
95NN06,CASTLEWELLAN,DOWN,140,0,60,0,70,170,60,80,30,30,0,100,100,0
95NN07,CATHEDRAL,DOWN,140,0,70,10,60,170,60,80,30,30,0,110,110,0
95NN08,CROSSGAR,DOWN,110,0,40,0,70,130,50,60,20,20,0,90,90,0
95NN09,DERRYBOY,DOWN,130,0,50,0,80,140,40,90,20,20,0,110,110,0
95NN10,DONARD,DOWN,150,0,70,0,80,180,70,90,20,20,0,130,130,0
95NN11,DRUMANESS,DOWN,110,0,40,0,70,150,40,70,40,30,0,80,80,0
95NN12,DUNDRUM,DOWN,120,0,40,0,70,140,60,60,20,20,0,90,90,0
95NN13,DUNMORE,DOWN,80,0,30,0,50,100,30,50,20,20,0,70,70,0
95NN14,KILLOUGH,DOWN,100,0,50,0,50,120,40,60,20,20,0,80,80,0
95NN15,KILLYLEAGH,DOWN,140,0,60,0,80,170,60,80,30,30,0,110,110,0
95NN16,KILMORE,DOWN,120,0,40,0,80,130,20,100,20,20,0,100,100,0
95NN17,MURLOUGH,DOWN,120,0,50,0,70,150,40,80,30,30,0,90,90,0
95NN18,QUOILE,DOWN,110,0,40,0,70,130,40,70,20,20,0,100,90,0
95NN19,SAINTFIELD,DOWN,90,0,30,0,50,100,40,50,10,10,0,80,80,0
95NN20,SEAFORDE,DOWN,110,0,50,0,50,130,40,60,30,30,0,80,80,0
95NN21,SHIMNA,DOWN,120,0,40,0,70,150,40,80,30,30,0,90,90,0
95NN22,STRANGFORD,DOWN,80,0,40,0,40,100,30,50,30,30,0,50,50,0
95NN23,TOLLYMORE,DOWN,180,0,60,10,110,210,60,120,30,30,0,150,150,0
95OO01,ALTMORE,DUNGANNON,150,10,70,0,80,190,70,90,30,30,0,120,120,0
95OO02,AUGHER,DUNGANNON,80,0,30,0,40,100,30,50,20,20,0,60,60,0
95OO03,AUGHNACLOY,DUNGANNON,130,0,60,0,70,160,60,70,30,30,0,100,100,0
95OO04,BALLYGAWLEY,DUNGANNON,140,10,70,0,70,190,70,70,50,40,0,100,90,0
95OO05,BALLYSAGGART,DUNGANNON,140,10,60,0,70,180,60,90,30,30,0,110,110,0
95OO06,BENBURB,DUNGANNON,100,0,40,0,50,130,50,50,30,30,0,70,70,0
95OO07,CALEDON,DUNGANNON,110,0,40,0,60,130,60,50,20,20,0,80,80,0
95OO08,CASTLECAULFIELD,DUNGANNON,130,0,60,0,70,170,60,70,40,30,0,100,100,0
95OO09,CLOGHER,DUNGANNON,130,0,60,0,60,160,40,90,30,30,0,100,100,0
95OO10,COALISLAND NORTH,DUNGANNON,180,10,90,0,90,240,90,90,60,50,0,130,120,0
95OO11,COALISLAND SOUTH,DUNGANNON,180,10,80,10,90,230,90,90,50,50,0,130,130,0
95OO12,COALISLAND WEST AND NEWMILLS,DUNGANNON,130,0,60,10,60,160,50,80,30,30,0,100,90,0
95OO13,COOLHILL,DUNGANNON,60,0,20,0,30,60,20,40,10,10,0,50,50,0
95OO14,DONAGHMORE (DUNGANNON),DUNGANNON,110,0,50,0,70,150,50,60,30,30,0,80,80,0
95OO15,DRUMGLASS,DUNGANNON,130,0,50,10,70,150,60,60,30,30,0,100,100,0
95OO16,FIVEMILETOWN,DUNGANNON,110,0,50,0,60,120,50,60,20,20,0,90,90,0
95OO17,KILLYMAN,DUNGANNON,90,0,30,0,50,120,30,60,30,30,0,60,60,0
95OO18,KILLYMEAL,DUNGANNON,110,0,40,0,60,130,60,50,20,20,0,90,90,0
95OO19,MOY,DUNGANNON,100,0,40,0,60,120,40,60,20,20,0,80,80,0
95OO20,MOYGASHEL,DUNGANNON,120,0,40,0,70,130,60,60,20,20,0,100,100,0
95OO21,MULLAGHMORE,DUNGANNON,140,0,60,10,80,170,70,70,30,30,0,110,110,0
95OO22,WASHING BAY,DUNGANNON,180,0,80,0,100,230,80,110,50,50,0,140,140,0
95PP01,BALLINAMALLARD,FERMANAGH,70,0,20,0,50,80,50,30,10,10,0,60,60,0
95PP02,BELCOO AND GARRISON,FERMANAGH,110,0,50,0,60,150,50,70,30,30,0,80,80,0
95PP03,BELLEEK AND BOA,FERMANAGH,110,0,60,0,50,140,50,70,30,30,0,90,90,0
95PP04,BOHO CLEENISH AND LETTERBREEN,FERMANAGH,90,0,40,0,50,110,40,50,20,20,0,70,70,0
95PP05,BROOKEBOROUGH,FERMANAGH,120,0,60,0,60,150,50,70,30,20,0,100,100,0
95PP06,CASTLECOOLE,FERMANAGH,150,0,50,0,100,180,40,110,30,20,0,120,120,0
95PP07,DERRYGONNELLY,FERMANAGH,130,0,40,0,80,140,40,90,20,20,0,110,110,0
95PP08,DERRYLIN,FERMANAGH,110,0,40,0,60,140,40,70,30,30,0,80,80,0
95PP09,DEVENISH,FERMANAGH,150,0,60,0,90,170,60,100,20,20,0,130,130,0
95PP10,DONAGH,FERMANAGH,110,0,60,0,50,140,40,70,40,40,0,70,70,0
95PP11,ERNE,FERMANAGH,130,0,50,0,70,150,50,70,30,30,0,100,100,0
95PP12,FLORENCECOURT AND KINAWLEY,FERMANAGH,110,0,50,0,60,140,40,80,30,30,0,80,80,0
95PP13,IRVINESTOWN,FERMANAGH,160,10,70,0,90,200,70,100,40,40,0,130,120,0
95PP14,KESH EDERNEY AND LACK,FERMANAGH,170,0,70,0,100,210,80,100,40,40,0,140,130,0
95PP15,LISBELLAW,FERMANAGH,70,0,20,0,40,90,30,40,20,20,0,50,50,0
95PP16,LISNARRICK,FERMANAGH,60,0,20,0,40,80,20,40,20,20,0,40,40,0
95PP17,LISNASKEA,FERMANAGH,180,0,70,0,100,210,80,100,30,30,0,150,150,0
95PP18,MAGUIRESBRIDGE,FERMANAGH,110,0,40,0,60,140,40,60,30,30,0,80,80,0
95PP19,NEWTOWNBUTLER,FERMANAGH,150,0,70,10,60,190,50,100,40,40,0,110,100,0
95PP20,PORTORA,FERMANAGH,160,10,50,0,100,180,70,90,30,20,0,130,130,0
95PP21,ROSSLEA,FERMANAGH,100,0,40,10,60,130,40,60,30,30,0,80,80,0
95PP22,ROSSORRY,FERMANAGH,110,0,50,0,60,140,40,70,20,20,0,90,90,0
95PP23,TEMPO,FERMANAGH,120,0,40,0,70,150,40,70,30,30,0,80,80,0
95QQ01,ANTIVILLE,LARNE,90,0,30,0,50,100,30,50,10,10,0,70,70,0
95QQ02,BALLYCARRY,LARNE,60,0,30,0,30,80,10,50,20,20,0,40,40,0
95QQ03,BALLYLORAN,LARNE,70,0,30,0,40,80,30,40,10,10,0,60,60,0
95QQ04,BLACKCAVE,LARNE,70,0,30,0,40,100,30,40,20,20,0,50,50,0
95QQ05,CARNCASTLE,LARNE,50,0,20,0,30,70,20,30,10,10,0,40,40,0
95QQ06,CARNLOUGH,LARNE,100,10,50,0,50,120,30,70,30,20,0,70,70,0
95QQ07,CENTRAL (LARNE),LARNE,160,0,70,0,70,170,70,80,20,20,0,140,140,0
95QQ08,CRAIGY HILL,LARNE,110,0,50,10,50,140,40,70,20,20,0,90,90,0
95QQ09,GARDENMORE,LARNE,120,0,40,0,80,150,50,70,30,30,0,100,90,0
95QQ10,GLENARM,LARNE,70,0,20,0,40,80,30,40,20,10,0,50,50,0
95QQ11,GLYNN,LARNE,60,0,20,0,40,70,20,40,10,10,0,40,40,0
95QQ12,HARBOUR (LARNE),LARNE,80,0,30,0,50,90,30,60,10,10,0,70,70,0
95QQ13,ISLAND MAGEE,LARNE,60,0,20,0,30,70,20,40,20,20,0,40,40,0
95QQ14,KILWAUGHTER,LARNE,90,0,40,0,50,110,30,60,30,30,0,60,60,0
95QQ15,TOWN PARKS,LARNE,80,0,30,0,40,90,30,40,20,20,0,60,60,0
95RR01,AGHANLOO,LIMAVADY,130,0,50,10,70,160,40,80,40,40,0,90,90,0
95RR02,BALLYKELLY,LIMAVADY,90,0,40,0,50,120,20,70,20,20,0,70,70,0
95RR03,COOLESSAN,LIMAVADY,90,0,30,0,60,120,50,50,20,20,0,70,70,0
95RR04,DUNGIVEN,LIMAVADY,120,0,50,0,60,150,40,70,40,40,0,80,80,0
95RR05,ENAGH (LIMAVADY),LIMAVADY,130,0,50,0,80,170,50,80,30,30,0,100,100,0
95RR06,FEENY,LIMAVADY,130,0,60,0,60,160,50,80,40,40,0,90,90,0
95RR07,FOREST,LIMAVADY,90,0,40,0,40,120,30,60,40,30,0,50,50,0
95RR08,GLACK,LIMAVADY,110,0,60,0,40,150,30,80,40,40,0,60,60,0
95RR09,GRESTEEL,LIMAVADY,150,0,80,0,70,200,50,100,50,50,0,110,100,0
95RR10,GREYSTONE (LIMAVADY),LIMAVADY,110,10,30,0,70,130,40,60,30,20,0,80,80,0
95RR11,MAGILLIGAN,LIMAVADY,130,0,40,0,80,160,40,90,30,30,0,100,100,0
95RR12,RATHBRADY,LIMAVADY,60,0,20,0,40,80,30,40,20,20,0,40,40,0
95RR13,ROESIDE,LIMAVADY,130,0,60,0,70,150,60,70,20,20,0,110,100,0
95RR14,THE HIGHLANDS,LIMAVADY,80,0,40,0,40,100,30,50,20,20,0,60,60,0
95RR15,UPPER GLENSHANE,LIMAVADY,100,10,50,0,40,140,40,70,30,30,0,70,70,0
95SS01,BALLINDERRY,LISBURN,100,0,40,0,60,130,30,70,30,30,0,70,70,0
95SS02,BALLYMACASH,LISBURN,80,0,20,0,60,90,30,50,10,10,0,70,70,0
95SS03,BALLYMACBRENNAN,LISBURN,60,0,20,0,40,70,20,40,20,20,0,40,40,0
95SS04,BALLYMACOSS,LISBURN,200,0,70,10,120,250,80,120,50,50,0,150,140,0
95SS05,BLARIS,LISBURN,70,0,20,0,60,80,30,40,10,10,0,70,60,0
95SS06,COLLIN GLEN,LISBURN,200,10,80,10,110,260,90,110,60,50,10,150,150,0
95SS07,DERRYAGHY,LISBURN,230,0,80,10,150,270,90,140,40,40,0,190,190,0
95SS08,DROMARA,LISBURN,110,0,30,10,80,130,50,60,20,20,0,90,90,0
95SS09,DRUMBO,LISBURN,40,0,20,0,20,60,20,20,10,10,0,30,30,0
95SS10,DUNMURRY,LISBURN,120,0,40,0,80,140,50,70,20,20,0,100,100,0
95SS11,GLENAVY,LISBURN,140,0,60,0,80,180,60,80,40,40,0,100,100,0
95SS12,HARMONY HILL,LISBURN,80,0,40,0,40,100,40,40,20,10,0,70,60,0
95SS13,HILDEN,LISBURN,150,10,50,10,90,170,60,90,20,20,0,130,120,0
95SS14,HILLHALL,LISBURN,140,0,40,0,90,170,70,80,30,30,0,120,110,0
95SS15,HILLSBOROUGH,LISBURN,100,0,30,0,70,120,40,60,20,20,0,80,80,0
95SS16,KILWEE,LISBURN,210,0,80,10,120,240,90,120,30,30,0,180,180,0
95SS17,KNOCKMORE,LISBURN,160,0,50,0,110,190,60,100,30,30,0,130,130,0
95SS18,LAGAN VALLEY,LISBURN,200,0,70,10,130,230,80,120,30,20,0,180,180,0
95SS19,LAMBEG,LISBURN,120,0,40,0,70,140,50,70,30,30,0,90,90,0
95SS20,LISNAGARVY,LISBURN,70,0,20,0,50,80,40,30,10,10,0,50,50,0
95SS21,MAGHABERRY,LISBURN,90,0,40,0,50,120,30,60,20,20,0,70,70,0
95SS22,MAGHERALAVE,LISBURN,80,0,30,0,50,100,40,40,20,20,0,60,60,0
95SS23,MAZE,LISBURN,70,0,30,0,40,90,20,50,20,20,0,50,50,0
95SS24,MOIRA,LISBURN,110,0,30,0,70,130,40,60,20,20,0,90,80,0
95SS25,OLD WARREN,LISBURN,140,0,60,0,80,160,70,70,20,20,0,120,120,0
95SS26,POLEGLASS,LISBURN,150,0,70,10,70,210,70,90,50,50,0,100,100,0
95SS27,SEYMOUR HILL,LISBURN,160,0,50,10,100,180,60,90,20,20,0,140,130,0
95SS28,TONAGH,LISBURN,140,0,40,10,90,160,50,90,20,20,0,120,120,0
95SS29,TWINBROOK,LISBURN,200,0,100,10,100,250,100,100,50,50,0,160,160,0
95SS30,WALLACE PARK,LISBURN,70,0,20,0,50,70,20,40,10,10,0,60,60,0
95TT01,BALLYMAGUIGAN,MAGHERAFELT,140,0,40,0,100,160,50,90,20,20,0,110,110,0
95TT02,BELLAGHY,MAGHERAFELT,130,10,50,10,70,170,50,80,40,40,0,90,90,0
95TT03,CASTLEDAWSON,MAGHERAFELT,150,0,60,0,90,190,60,90,40,30,0,110,110,0
95TT04,DRAPERSTOWN,MAGHERAFELT,130,10,60,0,60,170,70,60,40,30,0,100,100,0
95TT05,GLEBE (MAGHERAFELT),MAGHERAFELT,140,0,50,10,90,160,60,80,20,20,0,120,120,0
95TT06,GULLADUFF,MAGHERAFELT,130,0,60,0,80,170,60,80,30,30,0,100,100,0
95TT07,KNOCKCLOGHRIM,MAGHERAFELT,110,0,40,0,60,130,40,70,30,30,0,80,80,0
95TT08,LECUMPHER,MAGHERAFELT,90,0,30,0,60,120,30,60,30,30,0,60,60,0
95TT09,LOWER GLENSHANE,MAGHERAFELT,140,0,60,0,70,180,50,90,50,40,0,90,90,0
95TT10,MAGHERA,MAGHERAFELT,180,10,80,0,90,230,70,110,50,50,0,130,120,10
95TT11,SWATRAGH,MAGHERAFELT,150,10,70,0,80,190,50,110,40,40,0,110,110,10
95TT12,TOBERMORE,MAGHERAFELT,120,0,50,0,70,150,70,50,30,30,0,90,90,0
95TT13,TOWN PARKS EAST,MAGHERAFELT,120,0,40,10,70,140,50,70,30,20,0,90,90,0
95TT14,TOWN PARKS WEST,MAGHERAFELT,100,0,40,0,50,130,40,60,30,30,0,70,70,0
95TT15,UPPERLANDS,MAGHERAFELT,130,0,60,0,70,150,50,80,30,30,0,100,100,0
95TT16,VALLEY (MAGHERAFELT),MAGHERAFELT,130,0,40,0,90,170,40,100,40,40,0,90,90,0
95UU01,ARMOY,MOYLE,50,0,20,0,30,60,20,30,10,10,0,40,40,0
95UU02,BALLYLOUGH,MOYLE,50,0,10,0,30,60,10,40,10,10,0,40,40,0
95UU03,BONAMARGY AND RATHLIN,MOYLE,80,0,30,0,40,80,30,50,10,10,0,70,70,0
95UU04,BUSHMILLS,MOYLE,40,0,20,0,10,50,10,30,10,10,0,30,20,0
95UU05,CARNMOON,MOYLE,50,0,20,0,30,70,20,30,10,10,0,40,40,0
95UU06,DALRIADA,MOYLE,60,0,20,0,30,70,20,40,10,10,0,40,40,0
95UU07,DUNSEVERICK,MOYLE,30,0,10,0,20,40,10,20,10,10,0,30,30,0
95UU08,GLENAAN,MOYLE,70,0,30,0,40,90,30,40,20,20,0,50,50,0
95UU09,GLENARIFF,MOYLE,60,0,30,0,20,80,20,40,20,20,0,40,40,0
95UU10,GLENDUN,MOYLE,50,0,20,0,40,60,20,40,10,10,0,50,50,0
95UU11,GLENSHESK,MOYLE,30,0,20,0,20,40,10,30,10,10,0,20,20,0
95UU12,GLENTAISIE,MOYLE,100,0,40,0,50,110,40,60,20,20,0,80,80,0
95UU13,KINBANE,MOYLE,50,0,20,0,30,60,10,30,20,20,0,30,30,0
95UU14,KNOCKLAYD,MOYLE,110,0,40,10,60,130,50,60,30,30,0,80,80,0
95UU15,MOSS-SIDE AND MOYARGET,MOYLE,50,0,30,0,20,70,10,40,20,20,0,30,30,0
95VV01,ANNALONG,NEWRY AND MOURNE,170,0,60,0,100,230,80,90,60,50,0,120,110,0
95VV02,BALLYBOT,NEWRY AND MOURNE,200,0,90,10,100,230,110,90,30,30,0,170,160,0
95VV03,BESSBROOK,NEWRY AND MOURNE,190,0,80,0,100,230,80,120,40,40,0,150,150,0
95VV04,BINNIAN,NEWRY AND MOURNE,130,0,50,0,80,170,60,70,40,40,0,90,90,0
95VV05,BURREN AND KILBRONEY,NEWRY AND MOURNE,120,0,60,0,60,170,40,90,50,50,0,70,70,0
95VV06,CAMLOUGH,NEWRY AND MOURNE,180,0,80,10,80,220,80,100,50,40,0,130,130,0
95VV07,CLONALLAN,NEWRY AND MOURNE,190,0,70,0,110,230,80,110,40,40,0,150,150,0
95VV08,CREGGAN,NEWRY AND MOURNE,190,0,100,0,90,250,70,120,60,60,0,130,130,0
95VV09,CROSSMAGLEN,NEWRY AND MOURNE,210,10,100,0,90,260,90,110,60,50,0,150,140,10
95VV10,DAISY HILL,NEWRY AND MOURNE,200,0,90,10,100,250,100,100,50,50,0,150,150,0
95VV11,DERRYLECKAGH,NEWRY AND MOURNE,150,0,60,0,80,200,70,90,50,50,0,100,100,0
95VV12,DERRYMORE,NEWRY AND MOURNE,210,0,90,0,110,260,90,120,50,50,0,160,150,0
95VV13,DONAGHMORE (NEWRY AND MOURNE),NEWRY AND MOURNE,100,0,50,0,50,130,40,60,40,30,0,60,60,0
95VV14,DRUMALANE,NEWRY AND MOURNE,140,0,60,0,80,180,70,80,30,30,0,110,110,0
95VV15,DRUMGULLION,NEWRY AND MOURNE,170,0,80,10,90,210,90,90,40,40,0,140,130,0
95VV16,FATHOM,NEWRY AND MOURNE,150,0,70,0,70,190,60,90,40,40,0,110,110,0
95VV17,FORKHILL,NEWRY AND MOURNE,210,0,110,10,100,280,80,130,70,70,0,150,150,0
95VV18,KILKEEL CENTRAL,NEWRY AND MOURNE,210,0,70,0,130,250,100,120,40,40,0,170,170,0
95VV19,KILKEEL SOUTH,NEWRY AND MOURNE,170,10,80,10,80,220,80,90,50,50,0,120,110,0
95VV20,LISNACREE,NEWRY AND MOURNE,150,0,60,0,90,200,80,70,50,50,0,110,110,0
95VV21,MAYOBRIDGE,NEWRY AND MOURNE,130,0,50,0,80,170,50,80,40,40,0,90,90,0
95VV22,NEWTOWNHAMILTON,NEWRY AND MOURNE,140,0,60,0,70,170,60,80,30,30,0,110,100,0
95VV23,ROSTREVOR,NEWRY AND MOURNE,140,0,50,0,80,170,50,90,30,30,0,110,110,0
95VV24,SEAVIEW,NEWRY AND MOURNE,200,0,80,0,110,240,80,120,40,40,0,160,160,0
95VV25,SILVER BRIDGE,NEWRY AND MOURNE,180,0,80,0,90,220,80,90,50,50,0,130,130,0
95VV26,SPELGA,NEWRY AND MOURNE,140,0,60,0,80,180,70,70,40,40,0,100,100,0
95VV27,ST MARYS,NEWRY AND MOURNE,190,10,80,10,100,240,80,120,40,40,0,150,150,0
95VV28,ST PATRICKS,NEWRY AND MOURNE,210,0,90,0,110,250,80,130,30,30,0,180,180,0
95VV29,TULLYHAPPY,NEWRY AND MOURNE,100,0,50,0,50,130,50,50,30,20,0,70,70,0
95VV30,WINDSOR HILL,NEWRY AND MOURNE,150,0,60,0,80,180,50,100,30,30,0,110,110,0
95WW01,ABBEY,NEWTOWNABBEY,140,0,40,0,100,160,60,80,20,20,0,130,120,0
95WW02,BALLYCLARE NORTH,NEWTOWNABBEY,160,0,60,0,100,190,60,110,30,30,0,140,140,0
95WW03,BALLYCLARE SOUTH,NEWTOWNABBEY,160,0,60,0,100,190,60,100,30,30,0,130,130,0
95WW04,BALLYDUFF,NEWTOWNABBEY,70,0,20,0,40,90,30,40,20,20,0,50,50,0
95WW05,BALLYHENRY,NEWTOWNABBEY,120,0,40,10,80,150,50,70,30,30,0,90,90,0
95WW06,BALLYNURE,NEWTOWNABBEY,70,0,30,0,40,90,30,50,10,10,0,60,60,0
95WW07,BALLYROBERT,NEWTOWNABBEY,80,0,30,0,50,100,30,50,30,30,0,50,50,0
95WW08,BURNTHILL,NEWTOWNABBEY,70,0,20,0,50,90,40,30,20,20,0,60,60,0
95WW09,CARNMONEY,NEWTOWNABBEY,90,0,40,0,50,120,50,50,30,30,0,70,70,0
95WW10,CLOUGHFERN,NEWTOWNABBEY,110,0,30,0,80,140,40,70,20,20,0,90,90,0
95WW11,COLLINBRIDGE,NEWTOWNABBEY,50,0,30,0,20,80,30,20,20,20,0,30,30,0
95WW12,COOLE,NEWTOWNABBEY,120,0,40,10,70,130,50,70,10,10,0,100,100,0
95WW13,DOAGH,NEWTOWNABBEY,80,0,30,0,40,100,30,50,20,20,0,60,60,0
95WW14,DUNANNEY,NEWTOWNABBEY,150,0,60,0,90,170,70,90,20,20,0,130,130,0
95WW15,GLEBE (NEWTOWNABBEY),NEWTOWNABBEY,70,0,20,0,50,90,30,40,20,20,0,60,60,0
95WW16,GLENGORMLEY,NEWTOWNABBEY,130,0,50,0,80,160,60,70,30,30,0,100,100,0
95WW17,HAWTHORNE,NEWTOWNABBEY,100,0,30,0,60,120,50,50,20,20,0,80,80,0
95WW18,HIGHTOWN,NEWTOWNABBEY,90,0,40,0,50,120,50,40,30,30,0,60,60,0
95WW19,JORDANSTOWN,NEWTOWNABBEY,70,0,20,0,40,80,30,30,10,10,0,50,50,0
95WW20,MALLUSK,NEWTOWNABBEY,90,0,40,0,50,120,40,60,30,30,0,70,60,0
95WW21,MONKSTOWN,NEWTOWNABBEY,150,0,60,0,90,180,70,90,30,30,0,120,120,0
95WW22,MOSSLEY,NEWTOWNABBEY,110,0,40,0,70,140,50,70,30,30,0,90,90,0
95WW23,ROSTULLA,NEWTOWNABBEY,90,0,30,0,60,110,30,60,20,10,0,80,80,0
95WW24,VALLEY (NEWTOWNABBEY),NEWTOWNABBEY,230,10,80,10,140,260,100,120,30,30,0,190,190,10
95WW25,WHITEHOUSE,NEWTOWNABBEY,190,10,60,10,110,210,100,90,20,20,0,170,160,10
95XX01,BALLYCROCHAN,NORTH DOWN,60,0,20,0,40,80,20,40,20,20,0,40,40,0
95XX02,BALLYHOLME,NORTH DOWN,50,0,10,0,40,60,20,40,0,0,0,50,50,0
95XX03,BALLYMACONNELL,NORTH DOWN,30,0,10,0,20,50,10,30,10,10,0,20,20,0
95XX04,BALLYMAGEE,NORTH DOWN,70,0,20,0,50,80,20,50,10,10,0,60,60,0
95XX05,BANGOR CASTLE,NORTH DOWN,110,0,30,0,80,120,50,60,20,20,0,90,90,0
95XX06,BLOOMFIELD (NORTH DOWN),NORTH DOWN,140,10,40,0,90,160,70,70,20,20,0,120,110,0
95XX07,BROADWAY,NORTH DOWN,90,0,40,0,50,100,60,30,10,10,0,80,80,0
95XX08,BRYANSBURN,NORTH DOWN,80,0,30,0,50,100,30,50,20,20,0,70,70,0
95XX09,CHURCHILL,NORTH DOWN,160,0,40,0,120,180,70,80,20,20,0,130,130,0
95XX10,CLANDEBOYE,NORTH DOWN,90,0,30,0,60,110,40,50,20,20,0,70,70,0
95XX11,CONLIG,NORTH DOWN,170,10,60,10,100,220,80,100,40,40,0,130,130,0
95XX12,CRAIGAVAD,NORTH DOWN,50,0,20,0,30,60,10,40,20,10,0,30,30,0
95XX13,CRAWFORDSBURN,NORTH DOWN,50,0,10,0,30,50,20,30,10,10,0,40,40,0
95XX14,CULTRA,NORTH DOWN,30,0,10,0,20,40,10,20,10,10,0,30,30,0
95XX15,DUFFERIN,NORTH DOWN,120,0,50,0,70,160,60,60,40,40,0,90,90,0
95XX16,GROOMSPORT,NORTH DOWN,110,0,40,0,70,140,50,60,30,30,0,80,80,0
95XX17,HARBOUR (NORTH DOWN),NORTH DOWN,100,10,40,0,50,110,30,70,10,10,0,90,80,10
95XX18,HOLYWOOD DEMESNE,NORTH DOWN,110,0,30,0,70,120,50,60,10,10,0,100,100,0
95XX19,HOLYWOOD PRIORY,NORTH DOWN,60,0,20,0,40,70,20,40,10,10,0,50,50,0
95XX20,LOUGHVIEW,NORTH DOWN,100,0,30,0,70,120,50,50,10,10,0,90,90,0
95XX21,PRINCETOWN,NORTH DOWN,100,0,30,0,60,110,40,60,10,10,0,90,90,0
