Purchased quantities of eating out food & drink by income quintile Averages per person per week Quintile 1	Code	Description			Units	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
	eo240104			Tomato based sauce containing vegetables including ratatouille	g	0	0	0	0	1	0	0	0	0	0	0	0	0
	eo240105			Other savoury sauce or unspecified 'sauce'	g	1	1	2	1	1	1	1	1	1	1	1	1	1
	eo240106			Sweet sauce e.g. syrup, treacle, chocolate sauce	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240107			Fruit or vegetable based condiments	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240108			Other condiments or sauces	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240201			Salad dressings and dips	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240202			Mayonnaise	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240203			Coleslaw	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240301			Fruit filling e.g. peaches for pancakes	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240302			Vegetable filling	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240303			Cheese filling including cheddar cheese, cottage cheese	g	0	0	0	0	0	0	1	0	1	0	0	0	0
	eo240304			Fish based filling e.g. tuna mayonnaise	g	0	0	0	0	0	0	0	0	0	0	1	0	0
	eo240401			Butter and margarine	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240402			Jam, marmalade and honey	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240403			Cream - single, double, sour etc.	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240404			Custard	g	2	1	2	1	1	1	1	1	1	1	1	1	1
	eo240405			Sugar (as an addition to tea, coffee etc.)	g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo240501		Commercial baby food in a jar or can		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	eo2406		Yorkshire puddings and dumplings		g	1	1	1	1	1	1	1	1	1	1	2	2	1
	eo240701		Unspecified meal e.g. 'meal', 'school meal' or 'meal at work'		g	138	139	126	111	123	143	131	98	106	136	99	86	89
	eo250101		Coffee, black including espresso		ml	2	4	2	1	2	2	2	3	2	3	3	3	2
