Department,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction No.,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,209.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,314.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,524.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,786.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,788.04
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,942.38
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,471.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,786.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,314.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,786.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000209245,314.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,NATIONAL COAL MINING MUSE,0000209273,1207.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,NATIONAL COAL MINING MUSE,0000209274,2486.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,NATIONAL COAL MINING MUSE,0000209276,2877.22
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,NATIONAL COAL MINING MUSE,0000209277,3224.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,NATIONAL COAL MINING MUSE,0000209279,940.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,NATIONAL COAL MINING MUSE,0000209280,3224.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W COST BENEFIT ANALYSIS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,RISK & POLICY ANALYSTS LT,0000209256,2385.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2014,M/W COST BENEFIT ANALYSIS,ENVIRONMENT,PROF SER TECH-FORENSIC/LAB SER,RISK & POLICY ANALYSTS LT,0000209581,16700.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/02/2014,M/W DISCHARGE CONSENTS,ENVIRONMENT,ENERGY&UTILITIES-WATER,SEPA,0000208473,388.36
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/02/2014,M/W DISCHARGE CONSENTS,ENVIRONMENT,ENERGY&UTILITIES-WATER,SEPA,0000208475,-116.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/02/2014,M/W DISCHARGE CONSENTS,ENVIRONMENT,ENERGY&UTILITIES-WATER,SEPA,0000208476,-353.06
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,M/W LAND AGENTS (AQUISITIONS),ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,CORNERSTONE  PROJECTS LTD,0000208836,717.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000208993,259.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000208994,305.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000208996,74.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000208997,1443.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,JMC ENGINEERING (UK) LTD,0000208998,909.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000209025,244.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/12/2013,M/W NEW SCHEME - CONSULTANCY,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,J N BENTLEY LIMITED,0000207503,1212.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2014,M/W NEW SCHEME - CONSULTANCY,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,J N BENTLEY LIMITED,0000208310,1794.31
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/03/2014,M/W NEW SCHEME - CONSULTANCY,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,J N BENTLEY LIMITED,0000209293,557.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,NEATH PORT TALBOT COUNTY,0000208427,9612.37
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/02/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,NATIONAL COAL MINING MUSE,0000208431,12220.57
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000208910,22.19
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,2042.54
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,12589.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,9397.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,3226.62
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,21480.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,18575.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,2165.82
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,2279.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,14811.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,13862.62
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,887.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,6004.49
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,3246.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,4270.57
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000209020,11575.82
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209047,2981.12
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209048,1223.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209049,425.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209050,1104.11
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209051,6521.36
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209052,364.97
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209053,1017.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209054,2268.44
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209055,381.93
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209056,2891.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209057,3059.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209058,690.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209059,1659.91
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209060,550.63
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209061,523.34
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209062,713.93
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209063,1853.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209064,824.31
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209065,1249.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209066,524.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209067,955.77
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209068,95.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209198,1500.74
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209206,70.71
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209207,855.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,BRITISH GAS BUSINESS,0000209208,507.14
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,PROFESSIONAL COST MANAGEM,0000209269,409.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/03/2014,M/W POWER COSTS,ENVIRONMENT,ENERGY&UTILITIES-ELECTRICITY,NATIONAL COAL MINING MUSE,0000209610,18120.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/01/2014,M/W PUMPING TESTS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,SUBSURFACE LASER SCANNING,0000208561,3150.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/02/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,GATESHEAD COUNCIL,0000208541,5652.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,CALDERDALE METROPOLITAN B,0000208827,6123.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/03/2014,M/W RATES PAYABLE,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,ROSSENDALE BOROUGH COUNCI,0000208835,5652.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,CHESTERFIELD BOROUGH COUN,0000208931,7065.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,NEATH PORT TALBOT COUNTY,0000209102,3153.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,NEATH PORT TALBOT COUNTY,0000209103,8041.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,MERTHYR TYDFIL BOROUGH CO,0000209232,29799.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,BARNSLEY METROPOLITAN BOR,0000209233,33740.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,BARNSLEY METROPOLITAN BOR,0000209234,2355.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,BARNSLEY METROPOLITAN BOR,0000209235,9640.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,BARNSLEY METROPOLITAN BOR,0000209236,5652.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,TORFAEN COUNTY BOROUGH CO,0000209239,5676.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,BURNLEY BOROUGH COUNCIL,0000209240,3297.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,BOLSOVER DISTRICT COUNCIL,0000209260,12167.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,AMBER VALLEY BOROUGH COUN,0000209261,27233.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,NEATH PORT TALBOT COUNTY,0000209264,1261.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,CITY AND COUNTY OF SWANSE,0000209299,1892.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,CANNOCK CHASE DISTRICT CO,0000209300,6123.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,NEWCASTLE UNDER LYME BOR,0000209373,6594.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,NORTHUMBERLAND COUNTY COU,0000209413,5652.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,NORTHUMBERLAND COUNTY COU,0000209414,35668.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,NORTHUMBERLAND COUNTY COU,0000209415,2355.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,NORTHUMBERLAND COUNTY COU,0000209416,2826.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,DURHAM COUNTY COUNCIL,0000209417,4239.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,DURHAM COUNTY COUNCIL,0000209418,15424.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,DURHAM COUNTY COUNCIL,0000209419,3768.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-ACCOMDTN SERVICES,DURHAM COUNTY COUNCIL,0000209420,1177.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,DURHAM COUNTY COUNCIL,0000209421,13014.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,DURHAM COUNTY COUNCIL,0000209422,2355.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,N/E DERBYS DISTRICT COUNC,0000209423,10122.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/03/2014,M/W RATES PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,ANNUAL RENT PAYMENT WALLY,0000209675,1219.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/03/2014,M/W REMEDIATION,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000208986,2282.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/03/2014,M/W REMEDIATION,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000208987,13670.09
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/03/2014,M/W REMEDIATION,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000208990,216.02
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/03/2014,M/W REMEDIATION,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000209579,8802.85
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/03/2014,M/W RENTS PAYABLE,ENVIRONMENT,FACILITIES-BUILDING MANAGEMENT,ANNUAL RENT PAYMENT FOR P,0000208780,500.00
