City And County Properties Ltd,"210, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",11000
Forex Investments Ltd,"211, Dalton Road, Barrow In Furness, Cumbria, LA14 1PJ",34500
Lads & Dads Clothing Ltd,"214, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",8500
"Furness Building Society,","216-218, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",18750
Mister Investment Group Ltd,"217, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",11250
Lakes Bakery Limited,"219, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",8800
Simply Pleasure Ltd,"21, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1ST",4200
"Nationwide Building Soc.,","220, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",10250
Phx Training Ltd,"223-229, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DW",16000
Datsa Ltd,"223, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",11250
Abbey National Plc,"225, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",17250
H.S.S. Hire Services Group Plc,"227-231, Duke Street, Barrow In Furness, Cumbria, LA14 1XT",16500
E-Den Lettings Ltd,"227, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",15750
Grove Veterinary Centre Ltd,"231-239, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DW",17250
Baan Siam Barrow Ltd,"231, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",13500
Winfield Holdings Ltd,"23-29, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",19250
Trustees Of Zimmer Trust,"232, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",10250
Royal Bank Of Scotland Plc,"234-236, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",21500
Inspira Cumbria Ltd,"237-241, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",29500
"Greengate Workingmen'S,","23, Greengate Street, Barrow In Furness, Cumbria, LA14 1HB",8500
Game (Stores) Ltd (In Administration),"23, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",47000
Money Shop,"240, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",10000
Thorntons Plc,"2-4, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",69500
River Island Clothing Co Ltd,"24, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",78000
