Birthday Honours List 2016,,,,,,,
Order,Level,Award,Name,Citation,County,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Jane SANDALL ,"Professor of Women's Health, King's College London. For services to Midwifery and Women's Health.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Timothy Charles SAWYER ,"Chief Executive Officer, Start Up Loans. For services to Small Businesses and Entrepreneurs.",Hertfordshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Eleanor Barbara SCHOOLING ,"Lately Director of Children's Services, London Borough of Islington. For service to Children and Families.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Sarah Jane SCULLION ,"HR Director, DWP Operations, Department for Work and Pensions. For services to HR in DWP and voluntary services to Employment Tribunals.",Gloucestershire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Margaret Joan SERNA ,"Chair, Board of Corporation, Lincoln College and Managing Director, Thames Group (UK) Ltd.  For services to Further Education.",Lincolnshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Cleveland Anthony SEWELL ,"Founder, Generating Genius and Member, London Schools Excellence Fund Expert Advisory Group. For services to Education.",Surrey,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan SHEARER OBE DL,For charitable services to the community in North East England.,Tyne and Wear,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Penelope Jane SNELL ,"Vice President, National Gardens Scheme. For services to the Voluntary Sector Supporting Nursing and Healthcare.",Surrey,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Margaret Jean SNOWLING FBA,"Professor of Psychology and President, St John's College, Oxford.  For services to Science and the Understanding of Dyslexia.",Oxfordshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John William STEPHENS ,"Deputy Director, Teaching Schools and School Improvement, National College for Teaching and Leadership. For services to Education and voluntary service in Manchester.",Greater Manchester,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Rt Rev Timothy John STEVENS ,For services to the Church of England and the community in Leicestershire.,Suffolk,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter Quentin STRAUS ,"Managing Director, Rogers, Coleridge and White.  For services to Literature.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Janet STREET-PORTER ,Journalist and Broadcaster. For services to Journalism and Broadcasting.,London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Melissa Jane TATTON ,"Director of Individual and Small Business, HM Revenue and Customs. For services to Tax and voluntary service to Education.",Surrey,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Michael Philip THORNE ,"Lately Vice-Chancellor, Anglia Ruskin University. For services to Higher Education.",Hertfordshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Steven Cameron TORRIE QFSM,"Lately HM Chief Inspector, the Scottish Fire and Rescue Service.  For services to Fire and Rescue in Scotland.",Stirling and Falkirk,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Malcolm James TROBE ,"Interim General Secretary, The Association of School and College Leaders. For services to Education.",Leicestershire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Lt Col Andrew Simon TUGGEY DL,For services to the Commonwealth Parliamentary Association and the community in South East Wales.,Monmouthshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Mary Josephine TURNER MBE,For political service particularly through the Trades Union Movement.,London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Eben Christopher UPTON ,"Chief Executive Officer, Raspberry Pi (Trading) Ltd.  For services to Business and Education.",Cambridgeshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor Robert Gerald Van Cortlandt VERNON-JACKSON ,"Councillor, Portsmouth City Council. For services to Local Government.",Hampshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Patricia Susan WALTERS ,"Lately Headteacher, Holte Visual and Performing Arts College. For services to Education.",Warwickshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Bridget WARR ,"Chief Executive, United Kingdom Home Care Association. For services to Social Care and the Voluntary Sector.",Somerset,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Julie WELHAM ,"Senior Management, Ministry of Defence. For services to Defence.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor Anne WESTERN ,"Leader, Derbyshire County Council. For services to Local Government.",Derbyshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David John WHITING OBE,"Tax Director, Office of Tax Simplification. For services to Tax Simplification.",Hertfordshire,,
