Department,Entity,Posted Date,Internal Voucher Number, Invoice Line Amount Net GBP ,Supplier Name,Account Code
FCO,FCO,01/05/2017,9128205,50000,AECOM,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9128228,62504.65,PUBLIC INTERNATIONAL LAW AND POLICY GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9128272,38529.69,THE QUEEN ELIZABETH II CONFERENCE CENTRE,Inward visits to the UK and UK Conferences
FCO,FCO,01/05/2017,9128394,217990.87,URSSAF,Multiple Accounts
FCO,FCO,01/05/2017,9128461,70531.39,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9128463,83266.75,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9128464,43247.46,COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9128465,25648.78,COMPUTACENTER UK LTD,Information Systems Maintenance
FCO,FCO,01/05/2017,9128473,46590.05,SECURITY SERVICES GROUP,Misc Security Payments
FCO,FCO,01/05/2017,9128500,-123653.5,ISS FACILITY SERVICES LTD FCO OP,SLA Performance Deductions
FCO,FCO,01/05/2017,9128502,-123653.5,ISS FACILITY SERVICES LTD FCO OP,SLA Performance Deductions
FCO,FCO,01/05/2017,9128528,33601.55,KPMG FIDUCIAIRE,Multiple Accounts
FCO,FCO,01/05/2017,9128529,245369.36,845 THIRD LP,Multiple Accounts
FCO,FCO,01/05/2017,9129100,44004.01,WALSONS SERVICES PVT LTD,Multiple Accounts
FCO,FCO,01/05/2017,9129142,67924.04,NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
FCO,FCO,01/05/2017,9129394,30000,FCO SERVICES,Information Systems Implementation
FCO,FCO,01/05/2017,9129400,77475.83,FCO SERVICES,Despatch Charges
FCO,FCO,01/05/2017,9129401,170641.89,BRIAN JOHNSTON AND CO LTD,Vehicle Insurance
FCO,FCO,01/05/2017,9129408,78463.5,FCO SERVICES,Despatch Charges
FCO,FCO,01/05/2017,9129416,35050,KPMG LLP,Training Courses
FCO,FCO,01/05/2017,9129418,37938.69,KOIZA INTERNATIONAL LTD,Property Maintenance Overseas Residential
FCO,FCO,01/05/2017,9129422,114109.06,NONVIOLENT PEACEFORCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9129427,42484,IIZUKA,Information Systems Implementation
FCO,FCO,01/05/2017,9129428,40134.15,MEEDAN,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9129432,-36629.96,ZAK OTHER DEBTORS,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9129433,84968,IIZUKA,Information Systems Implementation
FCO,FCO,01/05/2017,9129441,40389.5,PECHTER POLLS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9129448,34233.39,FCO SERVICES,Vehicle Hire
FCO,FCO,01/05/2017,9129454,36825,FCO SERVICES,Vehicles Miscellaneous
FCO,FCO,01/05/2017,9129467,65725.48,COMPUTACENTER UK LTD,Multiple Accounts
