Department Family,Entity,Payment Date,Expense Area,Expense Type,Supplier,System Transaction Number,Amount
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3951181,"121,306.66"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,LANGLEY HOUSE TRUST,3956332,"118,850.00"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,LANGLEY HOUSE TRUST,3982606,"118,850.00"
Ministry of Justice,National Offender Management Service,06/04/2011,North East DOMS Office,Assets costing less than £10k purchased out of capital receipts from OGDs,DURHAM TEES VALLEY PROBATION TRUST,3963386,"112,542.18"
Ministry of Justice,National Offender Management Service,28/04/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",KONECT ELECTRICAL SERVICES LTD,3988628,"112,011.12"
Ministry of Justice,National Offender Management Service,19/04/2011,East Midlands Estates,General Maintenance Materials,F P S (FIRE PROTECTION) LTD,3978767,"110,808.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Acquisitions,CARILLION CONSTRUCTION LTD,3965961,"110,672.40"
Ministry of Justice,National Offender Management Service,19/04/2011,Peterborough,Inter-Unit Charge (IUC),PETERBOROUGH PRISON MANAGEMENT LTD,3981671,"108,387.55"
Ministry of Justice,National Offender Management Service,12/04/2011,Pentonville,Gas,COFATHEC ENERGY PFI LTD,3969916,"107,650.96"
Ministry of Justice,National Offender Management Service,06/04/2011,NOMS CFO,Contracted-out Resettlement Services,PERTEMPS PEOPLE DEVELOPMENT GROUP,3962780,"106,976.49"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ELIZABETH FRY APPROVED PREMISES,3956328,"106,250.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,CARILLION JM LIMITED,3959542,"104,932.22"
Ministry of Justice,National Offender Management Service,14/04/2011,Estates Capacity,WIP - Acquisitions,CARILLION JM LIMITED,3959542,"104,932.22"
Ministry of Justice,National Offender Management Service,11/04/2011,Winchester,"New structural works, structural maintenance and equipment",GAME ENGINEERING LTD,3968166,"104,112.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3957749,"104,085.60"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3962274,"103,996.80"
Ministry of Justice,National Offender Management Service,01/04/2011,East of England Regional NOMS Office,"New structural works, structural maintenance and equipment",HENDERSON-CAMPBELL LTD,3956063,"103,905.60"
Ministry of Justice,National Offender Management Service,01/04/2011,TSS West Midlands Area,"New structural works, structural maintenance and equipment",COLT SERVICE LTD,3945447,"101,756.88"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,WIP - Acquisitions,LORNE STEWART PLC,3960393,"101,532.85"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Acquisitions,CARILLION CONSTRUCTION LTD,3965789,"101,303.80"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,"New structural works, structural maintenance and equipment",JACOBS ENGINEERING UK,3957246,"99,792.55"
Ministry of Justice,National Offender Management Service,11/04/2011,Long Lartin,General Maintenance Materials,BMSI LTD,3969743,"99,508.80"
Ministry of Justice,National Offender Management Service,20/04/2011,Estates Capacity,Consultancy,DRIVERS JONAS DELOITTE,3976760,"97,847.93"
Ministry of Justice,National Offender Management Service,13/04/2011,Estates Capacity,WIP - Acquisitions,MAYBOURNE & RUSSELL LTD,3973084,"97,407.60"
Ministry of Justice,National Offender Management Service,06/04/2011,Manchester,Office Equipment Purchases Under £10k,M D LAUNDRY MACHINES (KENDAL) LTD,3962171,"97,200.00"
Ministry of Justice,National Offender Management Service,18/04/2011,East of England Regional NOMS Office,"New structural works, structural maintenance and equipment",PRINCEBUILD,3977152,"96,609.22"
Ministry of Justice,National Offender Management Service,11/04/2011,NOMS CFO,Contracted-out Resettlement Services,THE MANCHESTER COLLEGE,3965634,"96,180.50"
Ministry of Justice,National Offender Management Service,06/04/2011,Wakefield,General Maintenance Materials,AMBITEMP LTD,3962333,"96,000.00"
Ministry of Justice,National Offender Management Service,19/04/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3964664,"93,713.05"
Ministry of Justice,National Offender Management Service,11/04/2011,South East DOMS Office,Contracted-out Probation Trusts,THAMES VALLEY PROBATION TRUST,3967974,"93,469.23"
Ministry of Justice,National Offender Management Service,05/04/2011,MoJ ICT,Contract IT Maintenance,MINISTRY OF JUSTICE,3957711,"92,780.35"
Ministry of Justice,National Offender Management Service,04/04/2011,NOMIS Programme,Contracted-out Computer Services,STERIA LTD,3957604,"92,750.00"
Ministry of Justice,National Offender Management Service,15/04/2011,South East DOMS Office,Contracted-out Probation Trusts,THAMES VALLEY PROBATION TRUST,3971619,"91,921.63"
Ministry of Justice,National Offender Management Service,07/04/2011,NOMS CFO,Contracted-out Resettlement Services,LONDON PROBATION TRUST,3962295,"91,439.40"
Ministry of Justice,National Offender Management Service,13/04/2011,Estates Capacity,WIP - Acquisitions,ISG REGIONS LTD,3957855,"90,934.80"
Ministry of Justice,National Offender Management Service,21/04/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3982486,"90,423.21"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,GREENWICH COUNCIL,3958300,"90,147.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,GREENWICH COUNCIL,3958300,"90,147.00"
Ministry of Justice,National Offender Management Service,07/04/2011,NOMS CFO,Contracted-out Resettlement Services,LONDON PROBATION TRUST,3962294,"90,008.24"
Ministry of Justice,National Offender Management Service,14/04/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3974243,"89,792.86"
Ministry of Justice,National Offender Management Service,06/04/2011,Rehabilitation Services Group,Contracted-out Probation Trusts,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,3959480,"89,165.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Procurement Group,Professional Advice,SIMMONS & SIMMONS,3857291,"89,080.75"
Ministry of Justice,National Offender Management Service,19/04/2011,Hindley,Secondments,WIGAN COUNCIL,3864662,"88,201.16"
Ministry of Justice,National Offender Management Service,19/04/2011,Hindley,Secondments,WIGAN COUNCIL,3855517,"88,007.71"
Ministry of Justice,National Offender Management Service,26/04/2011,NOMS CFO,Contracted-out Resettlement Services,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3983698,"87,697.20"
Ministry of Justice,National Offender Management Service,18/04/2011,Dartmoor,Contracted-out Other Services,COFATHEC ENERGY SERVICES UK LTD,3977223,"85,438.91"
Ministry of Justice,National Offender Management Service,18/04/2011,Isle of Wight,Contracted-out Other Services,COFATHEC ENERGY SERVICES UK LTD,3976576,"85,308.56"
Ministry of Justice,National Offender Management Service,01/04/2011,Procurement Group,Professional Advice,SIMMONS & SIMMONS,3866691,"84,877.21"
Ministry of Justice,National Offender Management Service,20/04/2011,Brinsford,Other - Acquisitions,TRAKA PLC,3963312,"84,872.64"
Ministry of Justice,National Offender Management Service,28/04/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3989084,"84,714.11"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ASHLEY HOUSE,3956324,"84,583.33"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,Consultancy,PICK EVERARD,3956133,"84,409.31"
Ministry of Justice,National Offender Management Service,04/04/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3957747,"84,332.40"
Ministry of Justice,National Offender Management Service,20/04/2011,Holloway,General Maintenance Materials,THYSSENKRUPP ELEVATOR UK LTD,3961596,"84,113.64"
Ministry of Justice,National Offender Management Service,19/04/2011,Hindley,Secondments,WIGAN COUNCIL,3855516,"84,082.47"
Ministry of Justice,National Offender Management Service,19/04/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3979311,"83,338.30"
Ministry of Justice,National Offender Management Service,20/04/2011,Cumbria Probation Trust,Contracted-out Probation Trusts,CUMBRIA PROBATION TRUST,3980394,"83,333.33"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3951151,"83,033.32"
Ministry of Justice,National Offender Management Service,07/04/2011,NOMS CFO,Contracted-out Resettlement Services,PERTEMPS PEOPLE DEVELOPMENT GROUP,3962782,"82,917.65"
Ministry of Justice,National Offender Management Service,21/04/2011,Long Lartin,General Maintenance Materials,ROBERT BRUCE CONSTRUCTION,3980242,"82,219.20"
Ministry of Justice,National Offender Management Service,04/04/2011,MOJ Shared Services NOMS Delivery,VISA Costs,ARVAL UK LTD,3958167,"80,810.64"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMS CFO,Contracted-out Resettlement Services,SERCO LTD,3988443,"80,242.21"
Ministry of Justice,National Offender Management Service,06/04/2011,NOMS ICT,Contract IT Maintenance,SAP (UK) LTD,3961774,"80,127.50"
Ministry of Justice,National Offender Management Service,11/04/2011,Organisational Development Group,Recruitment,HAMPSHIRE CONSTABULARY,3960120,"80,000.00"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMS CFO,Contracted-out Resettlement Services,SERCO LTD,3988438,"79,781.05"
Ministry of Justice,National Offender Management Service,05/04/2011,Estates Capacity,Contracted-out Building Maintenance,HOME OFFICE,3959903,"79,359.00"
Ministry of Justice,National Offender Management Service,01/04/2011,TSS West Midlands Area,"New structural works, structural maintenance and equipment",FORD-MAINWARING LTD,3907442,"78,927.60"
Ministry of Justice,National Offender Management Service,04/04/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3957750,"78,895.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3958917,"78,688.17"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,"New structural works, structural maintenance and equipment",WATES CONSTRUCTION LTD,3962257,"78,608.40"
Ministry of Justice,National Offender Management Service,28/04/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3953792,"77,921.70"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3948199,"77,580.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Sudbury,Inter-Unit Charge (IUC),DERBYSHIRE PROBATION TRUST,3952203,"76,992.87"
Ministry of Justice,National Offender Management Service,04/04/2011,MOJ Shared Services NOMS Delivery,VISA Costs,ARVAL UK LTD,3958162,"76,656.38"
Ministry of Justice,National Offender Management Service,28/04/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3893142,"75,891.38"
Ministry of Justice,National Offender Management Service,20/04/2011,MOJ Shared Services NOMS Delivery,Contracted-out Catering Services,ESS SUPPORT SERVICES WORLDWIDE,3967069,"75,406.46"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Acquisitions,CARILLION JM LIMITED,3965956,"75,393.96"
Ministry of Justice,National Offender Management Service,08/04/2011,Wealstun,Inter-Unit Charge (IUC),SANGWIN LIMITED,3950452,"75,221.76"
Ministry of Justice,National Offender Management Service,26/04/2011,Sheppey Clustered Services,"Prisoner Compensation over £5,000",TREASURY SOLICITORS,3984650,"75,000.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3948467,"74,338.76"
Ministry of Justice,National Offender Management Service,06/04/2011,Bullingdon,"New structural works, structural maintenance and equipment",SOUTHERN ELECTRIC CONTRACTING LTD,3960663,"72,158.40"
Ministry of Justice,National Offender Management Service,21/04/2011,Wymott,Electricity,EDF ENERGY,3964577,"72,142.91"
Ministry of Justice,National Offender Management Service,12/04/2011,Estates Capacity,WIP - Acquisitions,HENRY BOOT CONSTRUCTION (U K) LTD,3969987,"71,927.86"
Ministry of Justice,National Offender Management Service,08/04/2011,Pentonville,"Prisoner Compensation over £5,000",TREASURY SOLICITORS,3967067,"71,500.00"
Ministry of Justice,National Offender Management Service,21/04/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3980383,"71,145.60"
Ministry of Justice,National Offender Management Service,18/04/2011,Blundeston,Contracted-out Other Services,COFATHEC ENERGY SERVICES UK LTD,3977222,"70,574.44"
Ministry of Justice,National Offender Management Service,14/04/2011,Yorks & Humberside Estate Management,"New structural works, structural maintenance and equipment",THE EAST RIDING OF YORKSHIRE COUNCIL,3974072,"70,313.15"
Ministry of Justice,National Offender Management Service,18/04/2011,Deerbolt,Contracted-out Other Services,COFATHEC ENERGY SERVICES UK LTD,3977225,"70,234.63"
Ministry of Justice,National Offender Management Service,13/04/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3962386,"69,836.40"
Ministry of Justice,National Offender Management Service,01/04/2011,Leyhill,"New structural works, structural maintenance and equipment",EMSC UK LTD,3950223,"69,765.60"
Ministry of Justice,National Offender Management Service,01/04/2011,New Hall,Contracted-out Building Maintenance,SANGWIN LIMITED,3953136,"68,890.40"
Ministry of Justice,National Offender Management Service,27/04/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3982440,"68,648.29"
Ministry of Justice,National Offender Management Service,26/04/2011,Maidstone,Contracted-out Library,KENT COUNTY COUNCIL,3971478,"68,360.94"
Ministry of Justice,National Offender Management Service,12/04/2011,Sheppey Clustered Services,Gas,CORONA ENERGY RETAIL 4 LTD,3970496,"68,028.79"
Ministry of Justice,National Offender Management Service,12/04/2011,Estates Capacity,Consultancy,PICK EVERARD,3961974,"67,676.98"
Ministry of Justice,National Offender Management Service,01/04/2011,Maidstone,Other - Acquisitions,FRIEDHEIM INTERNATIONAL LTD,3955679,"67,668.00"
Ministry of Justice,National Offender Management Service,18/04/2011,Isle of Wight,Contracted-out Other Services,COFATHEC ENERGY SERVICES UK LTD,3977926,"67,593.19"
Ministry of Justice,National Offender Management Service,20/04/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3980385,"67,392.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Wales Prisons Estate Management Group (WPEMG),General Maintenance Materials,BMSI LTD,3963220,"67,200.00"
Ministry of Justice,National Offender Management Service,06/04/2011,East of England Regional NOMS Office,Structural works / maintenance - Fees & professional services,WILTS WHOLESALE ELECTRICAL CO LTD,3961430,"67,022.89"
Ministry of Justice,National Offender Management Service,05/04/2011,Garth,"New structural works, structural maintenance and equipment",HOLDEN'S CVE,3960138,"66,808.45"
Ministry of Justice,National Offender Management Service,21/04/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",LINDUM GROUP LTD,3969760,"66,652.94"
Ministry of Justice,National Offender Management Service,04/04/2011,Offender Employment Skills & Services Group,Clothing,JIANGSU SAINTY CORP LTD,3954214,"66,420.00"
Ministry of Justice,National Offender Management Service,19/04/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3964658,"65,193.50"
Ministry of Justice,National Offender Management Service,04/04/2011,Wales Prisons Estate Management Group (WPEMG),General Maintenance Materials,ENGINEERING SERVICES (SOUTH WEST) LTD,3957272,"65,167.20"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,MILTON KEYNES COUNCIL,3958324,"64,950.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,MILTON KEYNES COUNCIL,3958324,"64,950.00"
Ministry of Justice,National Offender Management Service,01/04/2011,East Midlands Estates,"New structural works, structural maintenance and equipment",TRAKA PLC,3955796,"64,949.76"
Ministry of Justice,National Offender Management Service,04/04/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3960095,"64,728.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Pentonville,Counselling & Advisory Costs,R A P T,3977047,"64,643.39"
Ministry of Justice,National Offender Management Service,18/04/2011,Chelmsford,Other Fuels,COFATHEC ENERGY SERVICES UK LTD,3977930,"64,600.90"
Ministry of Justice,National Offender Management Service,11/04/2011,Ranby,Training Courses,TRACKWORK LTD,3967955,"63,600.00"
Ministry of Justice,National Offender Management Service,07/04/2011,Isle of Wight,Water and Sewage,SOUTHERN WATER SERVICES LTD,3963728,"63,395.70"
Ministry of Justice,National Offender Management Service,06/04/2011,Offender Employment Skills & Services Group,Raw Materials Issued,L & P (PSCS),3960936,"63,292.08"
Ministry of Justice,National Offender Management Service,05/04/2011,Learning and Development Group,Training and Further Education Courses,UNIVERSITY OF PORTSMOUTH,3957954,"62,979.01"
Ministry of Justice,National Offender Management Service,06/04/2011,East of England Regional NOMS Office,Payments to voluntary Organisations,ORMISTON CHILDREN & FAMILIES TRUST,3963131,"62,799.00"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3958918,"62,747.84"
Ministry of Justice,National Offender Management Service,06/04/2011,Wakefield,"New structural works, structural maintenance and equipment",AMBITEMP LTD,3962332,"62,718.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Chief Operating Officers Office,Miscellaneous,NPIA,3987805,"62,589.87"
Ministry of Justice,National Offender Management Service,19/04/2011,Everthorpe,"New structural works, structural maintenance and equipment",HALL CONSTRUCTION GROUP LTD,3979440,"62,072.40"
Ministry of Justice,National Offender Management Service,07/04/2011,Lindholme,Electricity,EDF ENERGY,3964578,"62,028.84"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMS CFO,Contracted-out Resettlement Services,SERCO LTD,3988445,"61,985.52"
Ministry of Justice,National Offender Management Service,12/04/2011,Hull,Contracted-out Other Services,COFATHEC ENERGY PFI LTD,3968906,"61,639.51"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3973438,"61,482.85"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Professional Fees,HENRY BOOT CONSTRUCTION (U K) LTD,3962925,"61,420.00"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMIS Programme,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3972680,"61,063.63"
Ministry of Justice,National Offender Management Service,26/04/2011,Cookham Wood,Contracted-out Building Maintenance,I-INTERIORS LTD,3962193,"60,885.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Offender Employment Skills & Services Group,"Books, Stationery & IT Consumables",CHARLES FELLOWS SUPPLIES LTD,3986140,"60,867.90"
Ministry of Justice,National Offender Management Service,04/04/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3960093,"60,483.87"
Ministry of Justice,National Offender Management Service,11/04/2011,Rochester,Contracted-out Building Maintenance,CAPITAL DENTAL EQUIPMENT,3969606,"60,428.00"
Ministry of Justice,National Offender Management Service,21/04/2011,Lancaster Farms,Buildings - Acquisitions,F C Y PLC,3957216,"60,402.24"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,LB OF HAMMERSMITH AND FULHAM,3958307,"60,249.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,LB OF HAMMERSMITH AND FULHAM,3958307,"60,249.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3968397,"60,026.40"
Ministry of Justice,National Offender Management Service,28/04/2011,Offender Employment Skills & Services Group,"Books, Stationery & IT Consumables",CARPENTER LTD,3985783,"59,669.88"
Ministry of Justice,National Offender Management Service,11/04/2011,Procurement Group,Professional Advice,SIMMONS & SIMMONS,3968455,"59,316.42"
Ministry of Justice,National Offender Management Service,19/04/2011,HOPS Payroll Charge,Travel - Non-Taxable,CARLSON WAGONLIT TRAVEL,3979234,"59,218.15"
Ministry of Justice,National Offender Management Service,20/04/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3980384,"58,998.47"
Ministry of Justice,National Offender Management Service,13/04/2011,Estates Capacity,WIP - Acquisitions,WILLMOTT DIXON CONSTRUCTION LTD,3971437,"58,596.18"
Ministry of Justice,National Offender Management Service,20/04/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3981606,"58,461.00"
Ministry of Justice,National Offender Management Service,01/04/2011,NOMS ICT,Specialist Contractors,ADVANTAGE TECHNICAL RESOURCING,3922036,"58,303.87"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,CHERWELL DISTRICT COUNCIL,3958198,"58,022.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,CHERWELL DISTRICT COUNCIL,3958198,"58,022.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Estates Capacity,WIP - Acquisitions,CARILLION CONSTRUCTION LTD,3965962,"57,783.60"
Ministry of Justice,National Offender Management Service,04/04/2011,Kirkham,"New structural works, structural maintenance and equipment",PETE MARQUIS CONTRACTORS & PLANT HIRE,3957219,"57,420.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3960096,"57,401.19"
Ministry of Justice,National Offender Management Service,01/04/2011,Blundeston,Other - Acquisitions,FRIEDHEIM INTERNATIONAL LTD,3955678,"57,114.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,HESTIA HOUSING SUPPORT CO LTD REF BATTERSEA & STREATHAM,3956331,"56,750.00"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,HESTIA HOUSING SUPPORT CO LTD REF BATTERSEA & STREATHAM,3982602,"56,750.00"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,REIGATE & BANSTEAD BOROUGH COUNCIL,3958296,"56,723.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,REIGATE & BANSTEAD BOROUGH COUNCIL,3958296,"56,723.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Leeds,"New structural works, structural maintenance and equipment",COLDSTORES LTD,3894381,"56,506.80"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ELIZABETH FRY APPROVED PREMISES,3982599,"56,250.00"
Ministry of Justice,National Offender Management Service,08/04/2011, Kennet,Gas,MERSEY CARE N H S TRUST,3965170,"56,232.00"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,RIPON HOUSE,3956335,"56,083.33"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,RIPON HOUSE,3982611,"56,083.33"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,DURHAM CITY COUNCIL,3958269,"55,818.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Pentonville,Professional Advice,ATOS ORIGIN IT SERVICES UK LTD,3965407,"55,806.00"
Ministry of Justice,National Offender Management Service,21/04/2011,Wolds,Contracted-out operation of prisons and detention centres,G4S CARE & JUSTICE SERVICES LTD,3982286,"55,800.86"
Ministry of Justice,National Offender Management Service,18/04/2011,Offender Employment Skills & Services Group,Raw Materials - Local Industries,L & P (PSCS),3976727,"55,631.07"
Ministry of Justice,National Offender Management Service,08/04/2011,Haverigg,Other - Acquisitions,F C Y PLC,3960203,"55,425.60"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,MANCHESTER CITY COUNCIL,3958339,"55,424.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,MANCHESTER CITY COUNCIL,3958339,"55,424.00"
Ministry of Justice,National Offender Management Service,05/04/2011,Transport Group,Other - Acquisitions,SEV GROUP LTD,3960528,"55,200.00"
Ministry of Justice,National Offender Management Service,18/04/2011,Brixton,Counselling & Advisory Costs,R A P T,3976672,"54,937.00"
Ministry of Justice,National Offender Management Service,18/04/2011,Lewes,Gas,COFATHEC ENERGY SERVICES UK LTD,3976577,"54,671.12"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3953796,"54,433.29"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3903263,"54,340.07"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3953794,"54,340.07"
Ministry of Justice,National Offender Management Service,01/04/2011,East Midlands Estates,General Maintenance Materials,F P S (FIRE PROTECTION) LTD,3941264,"54,139.80"
Ministry of Justice,National Offender Management Service,28/04/2011,NOMS CFO,Contracted-out Resettlement Services,SERCO LTD,3988446,"53,922.00"
Ministry of Justice,National Offender Management Service,28/04/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3953795,"53,768.43"
Ministry of Justice,National Offender Management Service,08/04/2011,Manchester,Water and Sewage,UNITED UTILITIES WATER PLC,3967060,"53,089.97"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,Rates and Ground Rents,NORTHUMBERLAND COUNTY COUNCIL,3958311,"52,826.00"
Ministry of Justice,National Offender Management Service,27/04/2011,Estates Capacity,Rates and Ground Rents,NORTHUMBERLAND COUNTY COUNCIL,3958311,"52,826.00"
Ministry of Justice,National Offender Management Service,08/04/2011,Wales Prisons Estate Management Group (WPEMG),General Maintenance Materials,EAGERGALA LTD,3933165,"52,579.80"
Ministry of Justice,National Offender Management Service,20/04/2011,Wandsworth,Counselling & Advisory Costs,R A P T,3977034,"52,356.60"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,WEST LONDON MISSION REF: KATHERINE HUGHES HOUSE,3956339,"52,333.33"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,WEST LONDON MISSION REF: KATHERINE HUGHES HOUSE,3982617,"52,333.33"
Ministry of Justice,National Offender Management Service,06/04/2011,NOMS CFO,Contracted-out Resettlement Services,LONDON PROBATION TRUST,3962006,"52,124.25"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ST JOHN'S APPROVED PREMISES,3956338,"51,666.67"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ST JOHN'S APPROVED PREMISES,3982616,"51,666.67"
Ministry of Justice,National Offender Management Service,13/04/2011,Audit & Corporate Assurance,Specialist Contractors,UNIVERSITY OF CAMBRIDGE,3972628,"51,659.25"
Ministry of Justice,National Offender Management Service,01/04/2011,Estates Capacity,Contracted-out Building Maintenance,HOME OFFICE,3955908,"51,606.69"
Ministry of Justice,National Offender Management Service,01/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ADELAIDE HOUSE,3956323,"51,166.67"
Ministry of Justice,National Offender Management Service,21/04/2011,Public Protection and Mental Health Group,Probation - Approved Premises,ADELAIDE HOUSE,3982594,"51,166.67"
