"Household recycling by material and region, England.  1996/97 to 2009/10",,,,,,,,,,,,,,,,
,Region,(All),,,,,,,,,,,,,,
,Tonnes (thousand),,Year,,,,,,,,,,,,,
1998/99,Recycling reuse composting,Scrap metals & white goods,South West,39.55,,,,,,,,,,,,
1998/99,Recycling reuse composting,Scrap metals & white goods,West Midlands,26.96,,,,,,,,,,,,
1998/99,Recycling reuse composting,Scrap metals & white goods,Yorkshire and the Humber,19.57,,,,,,,,,,,,
1998/99,Recycling reuse composting,Textiles,East,5.57,,,,,,,,,,,,
1998/99,Recycling reuse composting,Textiles,East Midlands,2.65,,,,,,,,,,,,
1998/99,Recycling reuse composting,Textiles,London,4.49,,,,,,,,,,,,
1998/99,Recycling reuse composting,Textiles,North East,1.07,,,,,,,,,,,,
1998/99,Recycling reuse composting,Textiles,North West,3.70,,,,,,,,,,,,
1998/99,Recycling reuse composting,Textiles,South East,6.84,,,,,,,,,,,,
1998/99,Recycling reuse composting,Textiles,South West,5.76,,,,,,,,,,,,
1998/99,Recycling reuse composting,Textiles,West Midlands,3.04,,,,,,,,,,,,
1998/99,Recycling reuse composting,Textiles,Yorkshire and the Humber,1.80,,,,,,,,,,,,
1998/99,Totals,Total household waste,London,"3,224.00",,,,,,,,,,,,
1998/99,Totals,Total household waste,North East,"1,192.00",,,,,,,,,,,,
1998/99,Totals,Total household waste,North West,"3,422.00",,,,,,,,,,,,
1998/99,Totals,Total household waste,South East,"3,868.00",,,,,,,,,,,,
1998/99,Totals,Total household waste,South West,"2,387.00",,,,,,,,,,,,
1998/99,Totals,Total household waste,West Midlands,"2,439.00",,,,,,,,,,,,
1998/99,Totals,Total household waste,Yorkshire and the Humber,"2,359.00",,,,,,,,,,,,
1998/99,Totals,Total household waste,East,"2,604.00",,,,,,,,,,,,
1998/99,Totals,Total household waste,East Midlands,"2,036.00",,,,,,,,,,,,
1999/00,Recycling reuse composting,Cans,East,6.66,,,,,,,,,,,,
1999/00,Recycling reuse composting,Cans,East Midlands,1.22,,,,,,,,,,,,
1999/00,Recycling reuse composting,Cans,London,3.30,,,,,,,,,,,,
1999/00,Recycling reuse composting,Cans,North East,0.71,,,,,,,,,,,,
1999/00,Recycling reuse composting,Cans,North West,1.45,,,,,,,,,,,,
1999/00,Recycling reuse composting,Cans,South East,12.12,,,,,,,,,,,,
1999/00,Recycling reuse composting,Cans,South West,4.41,,,,,,,,,,,,
1999/00,Recycling reuse composting,Cans,West Midlands,0.90,,,,,,,,,,,,
1999/00,Recycling reuse composting,Cans,Yorkshire and the Humber,1.19,,,,,,,,,,,,
1999/00,Recycling reuse composting,Co-mingled,East,0.00,,,,,,,,,,,,
1999/00,Recycling reuse composting,Co-mingled,East Midlands,0.00,,,,,,,,,,,,
1999/00,Recycling reuse composting,Co-mingled,London,0.00,,,,,,,,,,,,
1999/00,Recycling reuse composting,Co-mingled,North East,0.00,,,,,,,,,,,,
1999/00,Recycling reuse composting,Co-mingled,North West,0.00,,,,,,,,,,,,
1999/00,Recycling reuse composting,Co-mingled,South East,0.00,,,,,,,,,,,,
1999/00,Recycling reuse composting,Co-mingled,South West,0.00,,,,,,,,,,,,
1999/00,Recycling reuse composting,Co-mingled,West Midlands,0.00,,,,,,,,,,,,
1999/00,Recycling reuse composting,Co-mingled,Yorkshire and the Humber,0.00,,,,,,,,,,,,
1999/00,Recycling reuse composting,Compost,East,133.76,,,,,,,,,,,,
