Entity,Merchant Name,Date Posted,Billing Amount,Description
HA,PENNA PLC,12/02/2013,£758.98,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,12/02/2013,"£1,302.08",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,12/02/2013,£819.81,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,12/02/2013,"£1,481.48",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,12/02/2013,"£1,060.57",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,12/02/2013,£692.80,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,12/02/2013,£610.62,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,12/02/2013,£907.44,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,12/02/2013,£643.51,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/02/2013,"£2,011.16",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/02/2013,£819.09,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/02/2013,£526.74,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/02/2013,£526.74,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/02/2013,£597.64,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,13/02/2013,"£2,042.43",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,14/02/2013,"£1,888.80",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,14/02/2013,£656.48,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,14/02/2013,£605.26,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,14/02/2013,"£1,889.04",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,14/02/2013,£507.76,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,14/02/2013,£675.55,Statutory Advertising for work undertaken on HA road network
