Supplier,Amount,Payment Date
CONTACT COMMUNICATIONS LTD,15568.55,26/09/2013
CONTACT COMMUNICATIONS LTD,62384.11,26/09/2013
CONTACT COMMUNICATIONS LTD,16786.79,30/09/2013
COOPERATIVE BANK COURT FEES AC,13005,30/09/2013
CORNERSTONE BARRISTERS,1920,19/09/2013
COTSWOLD CHINE SCHOOL,5467.92,16/09/2013
CRAEGMOOR OLD RECTORY BREDE PRIORY,5412.56,26/09/2013
CRAEGMOOR SEABREEZES PRIORY,6181.63,26/09/2013
CRAFTY WIZARDS LTD,6137,11/09/2013
CRAFTY WIZARDS LTD,756,16/09/2013
CREATE CONSULTING ENGINEERS LTD,1471.5,02/09/2013
CRESCENT COMMERCIAL STATIONERY & COMPUTER SUPS LTD,1860.44,10/09/2013
CRESCENT COMMERCIAL STATIONERY & COMPUTER SUPS LTD,654.48,30/09/2013
CRI,936,30/09/2013
CROMWOOD LTD,880,13/09/2013
CROMWOOD LTD,880,13/09/2013
CROYDON COUNCIL,36561,05/09/2013
CROYDON COUNCIL,2331,23/09/2013
CRYSTAL ELECTRONICS LTD,35693.9,12/09/2013
CRYSTAL ELECTRONICS LTD,3426.55,23/09/2013
D CATCHESIDES LTD,12370.61,25/09/2013
DAC BEACHCROFT LLP,3540,30/09/2013
DAISY COMMUNICATIONS LTD,3362.2,16/09/2013
DANWOOD FINANCE LIMITED,800.96,20/09/2013
DARTFORD METALCRAFTS,1476,03/09/2013
DARTFORD METALCRAFTS,984,03/09/2013
DAVID OGILVIE ENG LTD (D OGILVIE A/F),900,26/09/2013
DAVID OGILVIE ENG LTD (D OGILVIE A/F),2895.6,26/09/2013
DAVID OGILVIE ENG LTD (D OGILVIE A/F),6300,26/09/2013
