"OA11CD","LAD11NM","PM252013me"
"E00023949","Westminster",17.633159637451
"E00024097","Westminster",16.712021495985
"E00024016","Westminster",17.188863436381
"E00024012","Westminster",17.160892486572
"E00024093","Westminster",17.009035905202
"E00024091","Westminster",16.747066049015
"E00024010","Westminster",17.233334132603
"E00024090","Westminster",16.90806388855
"E00024011","Westminster",17.255912144979
"E00024099","Westminster",16.683811460223
"E00024018","Westminster",17.154653390249
"E00024098","Westminster",17.840796760891
"E00024019","Westminster",17.250436782837
"E00175222","Westminster",17.342864871025
"E00175223","Westminster",16.936433390567
"E00175220","Westminster",17.227504094442
"E00175221","Westminster",17.205783963203
"E00175226","Westminster",17.869830224488
"E00175227","Westminster",17.341255701505
"E00175224","Westminster",17.029546260834
"E00175225","Westminster",17.047399184283
"E00175228","Westminster",17.547692192925
"E00175229","Westminster",17.373711164608
"E00023576","Westminster",17.222441927592
"E00023577","Westminster",19.051245117187
"E00023574","Westminster",17.074572443962
"E00023575","Westminster",17.907934947447
"E00023572","Westminster",18.81980826215
"E00023573","Westminster",17.157918112619
"E00023571","Westminster",17.055467605591
"E00023578","Westminster",18.254739937959
"E00023579","Westminster",17.463381290436
"E00023497","Westminster",17.57737159729
"E00023416","Westminster",16.549032211304
"E00023496","Westminster",17.711884155273
"E00023414","Westminster",17.085500001907
"E00023495","Westminster",17.690186500549
"E00023494","Westminster",19.879469422733
"E00023415","Westminster",16.71171684739
"E00023493","Westminster",18.020259009467
"E00023412","Westminster",16.785067656461
"E00023413","Westminster",16.420984721575
"E00023492","Westminster",17.646883249283
"E00023491","Westminster",17.679202360265
"E00023490","Westminster",18.955923960759
"E00023418","Westminster",17.380795200666
"E00023499","Westminster",18.091292175592
"E00023498","Westminster",17.788369154319
"E00023419","Westminster",16.756471576975
"E00023724","Westminster",16.970085645977
"E00023725","Westminster",17.21221769773
"E00023723","Westminster",16.817085706271
"E00023676","Westminster",17.781560717889
"E00023674","Westminster",17.55264860041
"E00023675","Westminster",17.313442353279
"E00023670","Westminster",18.054127549703
"E00023671","Westminster",17.46163110733
"E00023678","Westminster",17.020285735259
"E00023679","Westminster",17.355255173474
"E00023956","Westminster",18.618241815006
"E00023957","Westminster",18.761130469186
"E00023955","Westminster",18.641398052
"E00023953","Westminster",17.504017512004
"E00023950","Westminster",17.463619656033
"E00023951","Westminster",17.440270696368
"E00023958","Westminster",18.529819846153
"E00023959","Westminster",19.639931331981
"E00023866","Westminster",16.949406288766
"E00023865","Westminster",17.06124329567
"E00023862","Westminster",16.301823086209
"E00023863","Westminster",16.321812499653
"E00023860","Westminster",16.270779980554
"E00023869","Westminster",16.933386514353
"E00175232","Westminster",17.435712227455
"E00175233","Westminster",16.916039285206
"E00175231","Westminster",17.609642962192
"E00175236","Westminster",16.854067802429
"E00175237","Westminster",16.589703933052
"E00175234","Westminster",16.956053028936
"E00175238","Westminster",16.665346405723
"E00175239","Westminster",18.256411953976
"E00023546","Westminster",17.515077273051
"E00023547","Westminster",17.058218165806
"E00023544","Westminster",16.981221812112
"E00023545","Westminster",17.192653302793
"E00023542","Westminster",17.102335269635
"E00023543","Westminster",17.162213784677
"E00023540","Westminster",17.288734536422
"E00023548","Westminster",17.299217664278
"E00023549","Westminster",16.97030878067
"E00023737","Westminster",17.074118932088
"E00023734","Westminster",17.861164118114
"E00023732","Westminster",16.844514763874
"E00023733","Westminster",17.010936832428
"E00023730","Westminster",16.897448158264
"E00023731","Westminster",17.233872189241
"E00023739","Westminster",16.799660378314
"E00023646","Westminster",17.555297768634
"E00023647","Westminster",18.090345287323
"E00023644","Westminster",19.434659234409
"E00023643","Westminster",17.962638246252
"E00023640","Westminster",18.120849124969
"E00023641","Westminster",18.090383819912
"E00023648","Westminster",18.41564443837
"E00023649","Westminster",17.765835012708
"E00175183","Westminster",18.383948383561
"E00175180","Westminster",17.632614374161
"E00175187","Westminster",18.525315929862
"E00175186","Westminster",17.621755943924
"E00175185","Westminster",18.293210156759
"E00175184","Westminster",17.75739402771
"E00175189","Westminster",18.377515865508
"E00175188","Westminster",17.234269883898
"E00023926","Westminster",17.863705741035
"E00023927","Westminster",17.428877135854
"E00023924","Westminster",16.84310737023
"E00023925","Westminster",17.152013656941
"E00023923","Westminster",16.547277081397
"E00023921","Westminster",19.260199832916
"E00023928","Westminster",19.182374772571
"E00023929","Westminster",18.9280061767
"E00023876","Westminster",16.228970704255
"E00023877","Westminster",16.837413751511
"E00023874","Westminster",16.461186227344
"E00024067","Westminster",17.209651545474
"E00023875","Westminster",16.397220524875
"E00024064","Westminster",17.191084671021
"E00023872","Westminster",16.250029331929
"E00024065","Westminster",17.348291899029
"E00024062","Westminster",17.179508686066
"E00023870","Westminster",16.344375610352
"E00023871","Westminster",16.28706696159
"E00024060","Westminster",17.420588531494
"E00023878","Westminster",16.241280591046
"E00024068","Westminster",17.270244870867
"E00175202","Westminster",17.039165284899
"E00175203","Westminster",17.101990169949
"E00175200","Westminster",16.793489933014
"E00175201","Westminster",16.778184744028
"E00175207","Westminster",18.350382284685
"E00175204","Westminster",17.011800079346
"E00175205","Westminster",17.014927643996
"E00175208","Westminster",17.199377559242
"E00175209","Westminster",17.903798409558
"E00023537","Westminster",17.113687260946
"E00023534","Westminster",17.239210128784
"E00023535","Westminster",17.152537147954
"E00023532","Westminster",17.858694712321
"E00023533","Westminster",17.264373461405
"E00023530","Westminster",17.751789932251
"E00023531","Westminster",17.531606292725
"E00023538","Westminster",18.929539914401
"E00023539","Westminster",16.94838486399
"E00023556","Westminster",17.635542376288
"E00023557","Westminster",17.453636474609
