Property Reference Number,Primary Liable party name,Full Property Address,Current Rateable Value
104233909017N,Jacobs U.K. Limited,"Unit 12 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",5000
104233909018N,"British Red Cross,","Unit 14, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",5000
104233909019N,Jacobs U.K. Limited,"Unit 16, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",5500
104233909029N,Diamould Ltd,"Units 7a & 7b, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",21250
104233909040N,Integrated Network Systems Limited,"Unit 40, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",4550
104233909042N,Diamould Ltd,"Unit 3, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",53500
104233909043N,Diamould Ltd,"Unit 4, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",20000
104233909044N,Fortis Mechanical Design Ltd,"Unit 5a, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",14000
104233909045N,Northern Trust Co Ltd,"Unit 5b, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",14000
104233909047N,Gyrodata Ltd,"Unit 8a, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",9900
104233909049N,Ultima Skills (Morecambe) Ltd,"Unit 8b, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",8300
104233909051N,Centric Office Sols Ltd,"Unit 9, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",34250
104233909052N,Diamould Ltd,"Unit 10, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",42500
104233909055N,Sub-Tech Systems Ltd,"Unit 6,, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",21000
104233909061N,Complete Mobile Marketing Ltd,"Suite 1 Furness Gate, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",4550
104233909062N,Diamould Ltd,"Suite 2 Furness Gate, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",4350
104233909063N,Tcv Employment And Training Services Limited,"Suite 3 Furness Gate, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",15000
104233909064N,Sterling Management Centre Ltd,"Suite 4 Furness Gate, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",4350
104233909065N,"Morson Human Resources Ltd,","Suite 5 Furness Gate, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",9200
104233909068N,Serco Limited,"Suite 8 Furness Gate, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",30750
104233909070N,J A Payne Ltd,"J Leck & Son (Barrow) Ltd, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",14000
104233909080N,The Liquidators Of Strand Engineering North West Ltd,"Strand Engineering Co, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",29250
104233909105N,Trinity Enterprise Centre Ltd,"Unit 5, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",7300
104233909106N,Furness Internet Ltd,"Unit 6, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",6600
104233909107N,Provident Financial Plc,"Unit 9 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",6200
104233909110N,Gleeds Energy Limited,"Unit 10, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",1725
104233909119N,Wilcock Consultants Ltd,"Unit 19, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3950
104233909121N,"Wilcock Consultants Ltd,","Unit 21, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3850
104233909122N,We Buy Any Car Ltd,"Unit 22, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",1450
104233909123N,La12 Ltd,"Unit 23, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3700
104233909125N,Optionhouse Limited,"Unit 25, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3700
104233909126N,Energy 4 All Ltd,"Unit 26, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",5500
104233909128N,Johnston Recruitment Ltd,"Unit 28, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",4950
104233909130N,"James Milner (Barrow) Ltd,","James Milner (Barrow) Ltd, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",28750
104233909131N,Trinity Enterprise Centre Ltd,"Unit 31, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3700
104233909133N,Energy 4 All Ltd,"Unit 33, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3700
104233909134N,Northrop Grumman Sperry Marine Bv Ltd,"Unit 34, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3750
104233909136N,M W Cumbria Limited,"Unit 36, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",4550
104233909137N,North West Inshore Fisheries & Conservation Authorities,"Unit 37, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",4550
104233909138N,D.T.L.R.,"Unit 38, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",4550
104233909140N,Empat Removals Ltd,"Empat Yard, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",18000
104233909143N,Age Uk,"Unit 43, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",8500
104233909144N,Fell View Joinery Ltd,"Unit 44, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",7900
104233909145N,History & Heraldry Limited,"Unit 45, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",4550
104233909146N,Elevated Systems Technology Limited,"Unit 46, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",4600
104233909154N,"Schofield Construction Ltd,","Units 41 & 42 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",12500
104233909156N,Technical Doc. Cons Ltd,"Unit 8 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3950
104233909157N,Trinity Enterprise Centre Ltd,"Communal Parts & Unit 7 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",10750
104233909158N,Oxley Developments Co Ltd,"Units 1 & 2, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",63500
104233909162N,Driving Standards Agency,"Unit 11, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3850
104233909163N,Redhall Marine Limited,"Unit 13, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3700
104233909166N,Sterling Management Centre Ltd,"Suites 6 & 7, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",19500
104233909183N,Debenhams Retail Plc,"Units 8c & 8d, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",15750
104233909208N,Structural Science Comp. Ltd,"Unit 8, James Freel Close, Barrow In Furness, Cumbria, LA14  2NW",66000
104233909210N,Ato Industries Ltd T/A Building Accessories Supplies,"Building Accessories Supplies, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PG",8700
104233909212N,Furness Internet Ltd,"Units 1-3 T.E.C, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",7200
104233909213N,Etail Systems Limited,"Unit 4 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3250
104233909228N,Creative Support Ltd,"Unit 27 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3700
104233909229N,Trinity Enterprise Centre Ltd,"Unit 29 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",3700
104233909233N,Idomainz Ltd,"Unit 30 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",5100
104233909247N,L-3 Communications Msuk Ltd,"Units 47/48 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",11750
104233909253N,National Offender Management Services,"Unit 53, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",4500
104233909255N,Pc Supplies Ltd,"Unit 54, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",7800
104233909349N,Trinity Enterprise Centre Ltd,"Unit 49 T.E.C, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",10000
104233909350N,Furness College,"Unit 50 T.E.C., Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",6200
104233909910N,Nuffield Health,"Cannons Health Club, Hollywood Park, Hindpool Road, Barrow-In-Furness, Cumbria, LA14 1YE",185000
104233909990N,Spirit Group Ltd,"The Owl And The Pussycat, Hindpool Road, Barrow In Furness, Cumbria, LA14 1YE",85500
104233910002N,Barrow Borough Council,"Unit 2, James Freel Court, Barrow In Furness, Cumbria, LA14 2NG",9200
104233910003N,Brammer Uk Limited,"Unit 3, James Freel Court, Barrow In Furness, Cumbria, LA14 2NG",10250
104233910005N,Barrow Borough Council,"Unit 5, James Freel Court, Barrow In Furness, Cumbria, LA14 2NG",10250
104233910006N,Barrow Borough Council,"Unit 6, James Freel Court, Barrow In Furness, Cumbria, LA14 2NG",10250
104235500021N,Fc Business Services Ltd,"Room 2a Phoenix Business Centre, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",1525
104235500022N,Fc Business Services Ltd,"Common Parts Phoenix Business Centre,, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",12250
104235500031N,Lamont Pridmore (South Cumbria) Limited,"Room 3, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",2000
104235500032N,Blackun Ltd T/A Tkm,"Room 3a & 4a Phoenix Business Centre, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",2800
104235500041N,Michael Ellis Wealth Management Limited,"Room 4, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",2000
104235500051N,Fck Recruitment Ltd,"Phoenix Business Centre, Room 5, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",2000
104235500052N,Cumbria Chamber Of Commerce,"Room 5a Phoenix Business Centre, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",1525
104235500061N,Fc Business Services Ltd,"Phoenix Business Centre, Room 6, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",2250
104235500062N,Fc Business Services Ltd,"Room 6a Phoenix Business Centre, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",1525
104235500070N,Welcome Financial Services Limited,"Room 7, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",2300
104235500081N,Athena Professional Technical Services Limited,"Rooms 8-10 Phoenix Business Centre, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",6400
104235500120N,Heydays Care & Support Services Ltd,"Room 12, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",1500
104235500130N,Holbeck Construction Services Limited,"Room 13, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",1500
104235500140N,Shepherd A & S Ltd,"Room 14, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",1500
104235500160N,Premex Services Limited,"Room 16, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",1025
104235500181N,Sds 06 Limited,"Room 18,, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",1025
104235500201N,Accounting 4 Safety Ltd,"Room 20,, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",2900
104235500240N,Ac Eng Ltd,"Room 24 Phoenix Business Centre, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",2750
104235500800N,Liberata Plc,"Lake House, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UG",270000
104247309010N,Alzheimers Society,"Age Concern, 24, Nelson Street, Barrow In Furness, Cumbria, LA14 1NF",3150
104248409032N,Bae Systems Marine Limited,"T B Warehouse, Jute Road, Barrow In Furness, Cumbria, LA14 2PW",93000
104248409200N,Barrow Borough Council,"The Dock Museum, North Road, Barrow In Furness, Cumbria, LA14 2PW",130000
104248409201N,Whitbread Plc,"Brewers Fayre & Premier Inn, North Road, Barrow In Furness, Cumbria, LA14 2PW",179000
104253550020N,Guy Perry Ltd,"2, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UG",54500
104253550040N,Britannia Services (Nw) Ltd,"Britannia Construction Ltd, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",15500
104253550100N,Reverseword Ltd,"Furness Print Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UG",43750
104253560100N,Rathbone Training,"Rathbone Training Ltd, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",16000
104253560200N,Express Plumbing Supplies,"Unit 3 Phoenix Court, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",17750
104253560250N,Speedy Hire Centres Ltd,"Unit 5, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",15750
104253560300N,Screwfix Direct Ltd,"Screwfix Direct Ltd, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",15500
104253560600N,"City Electrical Factors Ltd,","City Electrical Factors, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",12500
104253570012N,Jjc Hire Ltd,"Unit 1,, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",31500
104253570013N,Furness Tyre Services Ltd,"Unit A At 1a , Forge Close, Barrow In Furness, Cumbria, LA14 2UF",6800
104253570016N,Furness Automotive Ltd,"Unit D At 1a, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",6800
104253570030N,City Plumbing Supplies Limited,"Unit 3, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",23250
104253570040N,Acorn Industrial Services Ltd,"Unit 4, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",8900
104253570060N,Sts Electrical Limited,"Unit 6, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",8900
104253570080N,Sbs (Cumbria) Limited,"Unit 8, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",10500
104253570100N,Subconsult Ltd,"Unit 10, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",10500
104253570120N,Impact Housing Assoc. Ltd,"Unit 12, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",10500
104253570140N,Kingfisher Seafoods Limited,"Unit 14, Forge Close, Barrow In Furness, Cumbria, LA14 2UF",10500
104260959000N,Electricity North West,"Independent Distribution Network Operator, St James Gardens, Barrow In Furness, Cumbria, LA14 5SP",78
104274209010N,Cumbria Waste Manage. Ltd,"Public Amenity Skip Site, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",19000
104274209031N,Jcdecaux Uk Limited,"Advertising Board, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",3150
104274209053N,"Cumbria Motor Services,","Stagecoach Plc, Walney Road, Barrow In Furness, Cumbria, LA14 5UY",78500
104274209064N,Rall Ltd,"Princess Interiors, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UT",18500
104274209068N,Tb Group Ltd,"Walney Road Offices (Tb Group Yard), Unit 1, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",6800
104274209072N,St Marys Hospice,"Empire Carpets, Wilkie Road, Barrow-In-Furness, Cumbria, LA14 5UT",13000
104274209075N,B/W Transport Museum Trust,"Barrow Transport Museum Trust Ltd, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",9800
104274209078N,Tb Group Ltd,"Youngs Furnishers (Tb Group Yard), Walney Road, Barrow In Furness, Cumbria, LA14 5UT",8100
104274209082N,Primesight Ltd,"Site 3103 Asda Car Park, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",2050
104274209084N,Farmfoods Limited,"Lidl Uk Ltd, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",106000
104274209085N,"Stollers (Barrow) Ltd,","Stollers Furniture World Ltd, Walney Road, Barrow In Furness, Cumbria, LA14 5UN",525000
104274209088N,Matalan Discount Club,"Matalan, Walney Road, Barrow In Furness, Cumbria, LA14  5UN",200000
104274209094N,Jcdecaux Uk Limited,"Site 3728 Adj Asda Superstore, Walney Road, Barrow In Furness, Cumbria, LA14 5UP",6300
104274209096N,Asda Stores Ltd,"Asda Superstore,, Walney Road, Barrow In Furness, Cumbria, LA14 5UP",1640000
104274209097N,Asda Stores Ltd,"Atm Site At Asda Superstore, Walney Road, Barrow In Furness, Cumbria, LA14 5UP",16500
104274209108N,T J Morris Ltd,"Home Bargains, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",130000
104274209109N,Argos Limited,"Argos Extra, Walney Road, Barrow In Furness, Cumbria, LA14  5UG",125000
104274209112N,Anixter Industrial,"Adj Unit 2d, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",4350
104274209114N,Anixter Industrial,"Unit 2d, Ashburner Way, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",19750
104274209122N,Steele¿S Removals Ltd,"Unit 2 Steele'S Yard, Walney Road Industrial Estate, Ashburner Way, Barrow In Furness, Cumbria, LA14 5UZ",14000
104274209123N,R S Properties Ltd,"Unit 3 Steele'S Yard, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",2550
104274209131N,"Poundstretcher,","Poundstretcher, Walney Road, Barrow In Furness, Cumbria, LA14  5UG",98500
104274209141N,Jcdecaux Uk Limited,"J C Deceaux Site 0015 Adj Agrilek, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",7700
104274209175N,Empire Flooring Services Limited,"Ashwood Transport (Tb Group Yard), Walney Road, Barrow In Furness, Cumbria, LA14 5UT",12750
104274209180N,Edmondson Electrical,"Unit 2a, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",19000
104274209181N,Tb Group Ltd,"Youngs Furnishers, Small Store In T B Group Yard, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1175
104274209182N,Tb Group Ltd,"Tb Group Ltd. The Arch, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",51500
104274209190N,Rexel Senate Limited,"Unit 1a, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",9900
104274209191N,Dsg Retail Ltd,"Pc World, Walney Road, Barrow In Furness, Cumbria, LA14 1YE",189000
104274209201N,St Marys Hospice,"Felltop (Nw) Ltd (Tb Group Yard), Walney Road, Barrow In Furness, Cumbria, LA14 5UT",8900
104274209220N,Speedy Supp Serv Ltd,"Unit 1c Ashburner Way, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",9100
104274209244N,Vexstar Trading Ltd T/A Execost Engineering,"Unit 1f, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",8700
104274209250N,Howden Joinery Ltd,"Unit 1, Walney Road Industrial Estate, Ashburner Way, Barrow In Furness, Cumbria, LA14 5UZ",24750
104274209290N,British Oxygen Co Ltd,"Boc Cylinder Centre, Walney Road, Barrow In Furness, Cumbria, LA14 5UY",9300
104274209291N,Waste Recycling Limited,"Caw Ltd, Walney Road, Barrow In Furness, Cumbria, LA14 5UP",135000
104274209292N,Cumbria County Council,"Barrow Fire Station, Phoenix Way, Barrow-In-Furness, Cumbria, LA14 2UG",199000
104274209300N,Pye Motors Ltd,"2, James Freel Close, Barrow In Furness, Cumbria, LA14 2YH",50500
104274209310N,"T Ward & Son Ltd,","Ward Group, James Freel Close, Barrow In Furness, Cumbria, LA14 2NW",43500
104274209311N,"Barton Townley(Barrow) Ltd,","Barton Townley (Barrow) Ltd, Furness Business Park, James Freel Close, Barrow In Furness, Cumbria, LA14 2NW",58500
104274209320N,Regal Vehicle Rentals Ltd,"Avis Budget Group, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",22500
104274209400N,Multi Tile Ltd T/A Topps Tiles,"Topps Tiles, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",47250
104274209501N,Trafficmaster Plc,"Trafficmaster Site, 5859d, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",140
104274209600N,Travelodge Hotels Ltd,"Travelodge Cocken Villa, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",86000
104274209601N,Michael Bird Ltd,"Dominos, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",15500
104274209701N,Tb Group Ltd,"Office 1, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1200
104274209702N,Tb Group Ltd,"Office 2, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",2050
104274209703N,Tb Group Ltd,"Office 3, Unit 2 Walney Road, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1250
104274209704N,Tb Group Ltd,"Office 4, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1150
104274209705N,Tb Group Ltd,"Office 5, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1175
104274209706N,Tb Group Ltd,"Office 6, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1300
104274209707N,Tb Group Ltd,"Office 7, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1275
104274209708N,Tb Group Ltd,"Office 8, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1150
104274209709N,R Brady T/A Gardening Serv. Ltd,"Office 9, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",1475
104274209710N,Tb Group Ltd,"Annex Office, Unit 2 Walney Road Offices, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",850
104300109030N,Hmcs Estates,"Magistrates Court, Abbey Road, Barrow In Furness, Cumbria, LA14 5QX",242000
104300109038N,Age Uk Barrow And District,"Age Concern, Lakeland Pennine Bldg, Abbey Road, Barrow In Furness, Cumbria, LA14 1XL",22000
104300109039N,Age Uk Barrow And District,"Safe In Barrow Domestic Abuse Project, Lakeland Pennine Bld, Abbey Road, Barrow In Furness, Cumbria, LA14 1XL",7900
104300109040N,Clear Channel Uk Ltd,"Adshell 1902 0078 Coronation, Gardens (Left), Abbey Road, Barrow In Furness, Cumbria, LA14 5QX",650
104300109041N,Clear Channel Uk Ltd,"Adshell 1902 0079 Coronation, Gardens (Right), Abbey Road, Barrow In Furness, Cumbria, LA14 5QX",650
104300109052N,Abbey Road Leisure Limited,"Lords Tavern, Abbey Road, Barrow In Furness, Cumbria, LA14 1LQ",13000
104300109063N,"Citizens Advice Bureau,","Citizens Advice Bureau, Ramsden Hall, Abbey Road, Barrow In Furness, Cumbria, LA14 5QW",13750
104300109075N,Cumbria County Council,"Nan Tait Centre, Abbey Road, Barrow In Furness, Cumbria, LA14 5UD",48500
104300109076N,Cumbria County Council,"Pt Gnd Flr Nan Tait Centre, Abbey Road, Barrow In Furness, Cumbria, LA14 5UD",11000
104300109081N,Cumbria Care,"1st Floor Offices Jubilee House, Abbey Road, Barrow In Furness, Cumbria, LA14 4QZ",5100
104300109082N,Cumbria County Council,"2nd Flr Offices Jubilee House, 15, Abbey Road, Barrow In Furness, Cumbria, LA14 5UD",14250
104300109083N,Art Gene Ltd,"Art Gene Ltd, The Nan Tait Centre, Bath Street, Barrow In Furness, Cumbria, LA14 5TY",29750
104300109171N,Sec. Of State For Comm & Loc Gov.,"1st Flr Emlyn Hughes House, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",26000
104300109172N,Barrhead Travel Services Limited,"2nd & 3rd Flrs Emlyn Hughes House, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",37500
104300109173N,Barrow Borough Council,"Emlyn Hughes House, Gnd Flr, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",22750
104300109174N,Barrhead Travel Services Limited,"Emlyn Hughes House, Office Gnd Flr, Abbey Road, Barrow In Furness, Cumbria, LA14 5QY",3050
104300109182N,Caterleisure Services,"Cafexpress At Barrow Railway Station, Abbey Road, Barrow In Furness, Cumbria, LA14 5QZ",3350
104300109183N,Mobile Broadband Network Limited,"Hutchison (La0058) Barrow Amte, Abbey Road, Barrow In Furness, Cumbria, LA14 5QZ",9000
104305900061N,Coral Racing Ltd,"6, Bath Street, Barrow In Furness, Cumbria, LA14 1LZ",6400
104305909010N,Lara Gibbons Ltd,"Cunninghams, 13, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",6250
104319509520N,Travis Perkins Ltd,"Travis Perkins Trading Co Ltd, Duke Street, Barrow In Furness, Cumbria, LA14 1XU",68000
104319509521N,Barrow Borough Council,"Land Adj Travis Perkins Trading Co Ltd, Duke Street, Barrow In Furness, Cumbria, LA14 1XU",690
104319509530N,"Agrilek Ltd,","Agrilek Ltd,, Duke Street, Barrow In Furness, Cumbria, LA14 5UL",44000
104319509541N,Cumbria County Council,"Barrow Archives, Duke Street, Barrow In Furness, Cumbria, LA14 1LL",14500
104319509593N,Cumbria County Council,"Barrow Library, Ramsden Square, Barrow In Furness, Cumbria, LA14 1LL",86000
104329800012N,Loos Eason Podiatry Ltd,"1, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",3250
104329800160N,The Samaritans,"16, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",5900
104329800170N," N U G M W,","17, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",5100
104329800228N,Barrow Constituency Labour Party,"First Floor, 22, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",2200
104329800360N,Cumbria Primary Care Trust,"36-38, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",11500
104329800473N,Independent Vetcare Ltd,"Gnd Flr 47-49, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",6500
104329800500N,"Barrow Contract Bridge Club,","1a, Drake Street, Barrow In Furness, Cumbria, LA14 5RG",2150
104329800520N,Cowards Pharmacy Ltd,"52, Hartington Street, Barrow In Furness, Cumbria, LA14 5SR",3200
